r[m]	z[m]	psi[Wb]	Bz[T]	Br[T]
0.113024	0.000000	0.000426	-0.077337	-0.000000
0.113024	0.029483	0.000429	-0.077023	-0.000209
0.113024	0.058967	0.000435	-0.076081	-0.000418
0.113024	0.088450	0.000446	-0.074508	-0.000628
0.113024	0.117933	0.000461	-0.072297	-0.000841
0.113024	0.147416	0.000481	-0.069440	-0.001056
0.113024	0.176900	0.000506	-0.065921	-0.001278
0.113024	0.206383	0.000535	-0.061726	-0.001500
0.113024	0.235866	0.000569	-0.056816	-0.001740
0.113024	0.265349	0.000608	-0.051154	-0.001981
0.113024	0.294833	0.000652	-0.044661	-0.002251
0.113024	0.324316	0.000702	-0.037150	-0.002538
0.113024	0.353799	0.000759	-0.028257	-0.002875
0.113024	0.383282	0.000822	-0.018031	-0.003173
0.113024	0.412766	0.000889	-0.007558	-0.003133
0.113024	0.442249	0.000952	0.001117	-0.002893
0.113024	0.471732	0.001011	0.007796	-0.002721
0.113024	0.501216	0.001067	0.013039	-0.002631
0.113024	0.530699	0.001121	0.017295	-0.002593
0.113024	0.560182	0.001175	0.020862	-0.002584
0.113024	0.589665	0.001230	0.023934	-0.002589
0.113024	0.619149	0.001284	0.026642	-0.002597
0.113024	0.648632	0.001338	0.029075	-0.002600
0.113024	0.678115	0.001393	0.031295	-0.002591
0.113024	0.707598	0.001447	0.033340	-0.002565
0.113024	0.737082	0.001500	0.035238	-0.002515
0.113024	0.766565	0.001552	0.037003	-0.002440
0.113024	0.796048	0.001602	0.038642	-0.002333
0.113024	0.825531	0.001649	0.040156	-0.002195
0.113024	0.855015	0.001694	0.041540	-0.002022
0.113024	0.884498	0.001734	0.042786	-0.001815
0.113024	0.913981	0.001769	0.043886	-0.001574
0.113024	0.943465	0.001799	0.044830	-0.001302
0.113024	0.972948	0.001824	0.045608	-0.001003
0.121797	0.993586	0.002135	0.046150	-0.000889
0.151041	0.993586	0.003297	0.046547	-0.001240
0.180285	0.993586	0.004721	0.047041	-0.001589
0.209528	0.993586	0.006416	0.047640	-0.001944
0.238772	0.993586	0.008393	0.048354	-0.002314
0.268016	0.993586	0.010664	0.049195	-0.002706
0.297260	0.993586	0.013244	0.050177	-0.003133
0.326503	0.993586	0.016152	0.051320	-0.003608
0.355747	0.993586	0.019410	0.052645	-0.004149
0.384991	0.993586	0.023044	0.054183	-0.004783
0.414235	0.993586	0.027087	0.055968	-0.005542
0.443478	0.993586	0.031578	0.058047	-0.006473
0.472722	0.993586	0.036565	0.060476	-0.007642
0.501966	0.993586	0.042106	0.063326	-0.009141
0.531210	0.993586	0.048273	0.066688	-0.011108
0.560453	0.993586	0.055157	0.070670	-0.013753
0.589697	0.993586	0.062870	0.075397	-0.017406
0.593596	0.968034	0.062055	0.071026	-0.021903
0.593596	0.938551	0.059473	0.064779	-0.024784
0.593596	0.909067	0.056659	0.058662	-0.026192
0.593596	0.879584	0.053754	0.053018	-0.026492
0.593596	0.850101	0.050860	0.048001	-0.026029
0.593596	0.820618	0.048047	0.043638	-0.025078
0.593596	0.791134	0.045355	0.039897	-0.023841
0.593596	0.761651	0.042809	0.036716	-0.022456
0.593596	0.732168	0.040419	0.034032	-0.021015
0.593596	0.702685	0.038187	0.031784	-0.019575
0.593596	0.673201	0.036112	0.029922	-0.018173
0.593596	0.643718	0.034189	0.028404	-0.016829
0.593596	0.614235	0.032409	0.027203	-0.015555
0.593596	0.584751	0.030765	0.026296	-0.014355
0.593596	0.555268	0.029249	0.025674	-0.013229
0.593596	0.525785	0.027853	0.025332	-0.012178
0.593596	0.496302	0.026568	0.025277	-0.011198
0.593596	0.466818	0.025388	0.025523	-0.010285
0.593596	0.437335	0.024304	0.026098	-0.009439
0.593596	0.407852	0.023309	0.027053	-0.008659
0.593596	0.378369	0.022397	0.028489	-0.007953
0.593596	0.348885	0.021556	0.030648	-0.007359
0.593596	0.319402	0.020767	0.034361	-0.007091
0.593596	0.289919	0.019867	0.045859	-0.012925
0.613092	0.280091	0.021003	0.017559	-0.024399
0.642336	0.280091	0.022833	0.014951	-0.014414
0.671580	0.280091	0.024577	0.014002	-0.008987
0.689126	0.268298	0.025296	0.015188	-0.005990
0.689126	0.238814	0.024580	0.018925	-0.005217
0.689126	0.209331	0.023964	0.021920	-0.004455
0.689126	0.179848	0.023441	0.024225	-0.003743
0.689126	0.150365	0.023006	0.026007	-0.003078
0.689126	0.120881	0.022654	0.027393	-0.002446
0.689126	0.091398	0.022381	0.028450	-0.001835
0.689126	0.061915	0.022185	0.029207	-0.001237
0.689126	0.032432	0.022064	0.029673	-0.000646
0.689126	0.002948	0.022020	0.029848	-0.000059
