r[m]	z[m]	psi[T]	Bz[T]	Br[T]
0.108785	-0.997865	-0.0006519466082404458	0	0
0.108785	-0.8804400000000001	-0.0008723839742850021	0	0
0.108785	-0.7697	-0.0009806711643729762	0	0
0.108785	-0.67191	-0.0009991181622878741	0	0
0.108785	-0.54804	-0.0009461707592108495	0	0
0.108785	-0.43699000000000005	-0.0007630524870347816	0	0
0.108785	-0.33224000000000004	-0.0007630524870347816	0	0
0.108785	-0.22184	-0.000664728575072568	0	0
0.108785	-0.11097	-0.0005954686735233584	0	0
0.108785	0	-0.0005931341512335422	0	0
0.108785	0.11097	-0.000640361372523304	0	0
0.108785	0.22184	-0.0006314901920724616	0	0
0.108785	0.33224000000000004	-0.0007826319480346331	0	0
0.108785	0.43699000000000005	-0.0008541984190221826	0	0
0.108785	0.54804	-0.001005114621210703	0	0
0.108785	0.67191	-0.0010140906912878137	0	0
0.108785	0.7697	-0.0010105290633730152	0	0
0.108785	0.8804400000000001	-0.0009189264722851438	0	0
0.108785	0.997865	-0.0007673316092406499	0	0
0.22539	0.999365	-0.010226903958210406	0	0
0.598	0.87694	-0.04203274955504664	0	0
0.598	0.74658	-0.038355820800057325	0	0
0.598	0.63813	-0.05479838195619419	0	0
0.598	0.51966	-0.0407664126573552	0	0
0.598	0.36641	-0.029436927526884538	0	0
0.78	0.35000000000000003	-0.02358382970326898	0	0
0.598	0.28300000000000003	-0.02958309247386607	0	0
0.598	-0.28300000000000003	-0.03041052747387081	0	0
0.78	-0.35000000000000003	-0.02364716690327541	0	0
0.598	-0.36641	-0.029605370826891415	0	0
0.598	-0.51966	-0.040809215557368855	0	0
0.598	-0.63813	-0.05411638845621786	0	0
0.598	-0.74658	-0.03749345070006457	0	0
0.598	-0.87694	-0.041002218155023404	0	0
0.22539	-0.999365	-0.010226903958210406	0	0
0.78	0.25000000000000003	-0.02358382970326898	0	0
0.78	-0.25000000000000003	-0.02364716690327541	0	0
0.78	0.15000000000000003	-0.02358382970326898	0	0
0.78	0.01000000000000003	-0.02358382970326898	0	0
0.78	-0.15000000000000003	-0.02364716690327541	0	0
0.78	0.08300000000000003	-0.02358382970326898	0	0
0.78	-0.08300000000000003	-0.02364716690327541	0	0
