r[m]	z[m]	psi[T]	Bz[T]	Br[T]
0.11	-0.85	0	-0.023515144879390208	0
0.11	-0.75	0	-0.02496405470957508	0
0.11	-0.65	0	-0.024649748284639346	0
0.11	-0.55	0	-0.022732053531184456	0
0.11	-0.45000000000000007	0	-0.02083761540991104	0
0.11	-0.3500000000000001	0	-0.018213976640184863	0
0.11	-0.2500000000000001	0	-0.01598138526564032	0
0.11	-0.15000000000000013	0	-0.015287190084275277	0
0.11	-0.050000000000000155	0	-0.014574071617216376	0
0.11	0.04999999999999982	0	-0.014361231617216051	0
0.11	0.1499999999999998	0	-0.01477066908427429	0
0.11	0.24999999999999967	0	-0.017142195265638677	0
0.11	0.34999999999999976	0	-0.018709827640182572	0
0.11	0.44999999999999984	0	-0.02053282340990813	0
0.11	0.5499999999999997	0	-0.022394548531181065	0
0.11	0.6499999999999996	0	-0.02339905828463574	0
0.11	0.7499999999999997	0	-0.02470653240957166	0
0.11	0.8499999999999998	0	-0.024721149879387526	0
0.38615	0.99	0	-0.026710278124679382	0
0.53615	0.99	0	-0.029921967817952897	0
0.58326	0.8499999999999998	0	-0.02859152955459704	0
0.58326	0.7499999999999997	0	-0.03368013241876286	0
0.58326	0.6499999999999996	0	-0.03702568982519529	0
0.58326	0.5499999999999997	0	-0.02903817748138829	0
0.58326	0.44999999999999984	0	-0.019976550269316454	0
0.58326	0.34999999999999976	0	-0.012691887984119627	0
0.58326	0.24999999999999967	0	-0.009064616876325256	0
0.58326	0.1499999999999998	0	-0.009658911462186205	0
0.58326	0.04999999999999982	0	-0.008831915016258622	0
0.58879	-0.05000000000000013	0	-0.009194201600148342	0
0.58879	-0.15000000000000013	0	-0.009194201600148342	0
0.58879	-0.2500000000000001	0	-0.008972825081326552	0
0.58879	-0.3500000000000001	0	-0.012084954315718337	0
0.58879	-0.45000000000000007	0	-0.020045257887074286	0
0.58879	-0.55	0	-0.029502896239736932	0
0.58879	-0.65	0	-0.03680931459711745	0
0.58879	-0.75	0	-0.03169381903500601	0
0.58879	-0.85	0	-0.025562183925450142	0
0.53615	-0.99	0	-0.027176053817957933	0
0.38615	-0.99	0	-0.026277359124681286	0
