time CCSCenterZL CCSCenterZU Axis2DarrayZL Axis2DarrayZU CCSCenterZL_modified CCSCenterZU_modified
9.525000 -0.190000 0.270000 -0.140000 0.190000 -0.132126 0.177749
9.525500 -0.160000 0.270000 -0.140000 0.190000 -0.128297 0.177749
9.526000 -0.130000 0.270000 -0.140000 0.190000 -0.124467 0.177749
9.526500 -0.110000 0.270000 -0.130000 0.190000 -0.121914 0.177749
9.527000 -0.100000 0.270000 -0.130000 0.180000 -0.120638 0.177749
9.527500 -0.100000 0.260000 -0.130000 0.180000 -0.120638 0.174616
9.528000 -0.110000 0.260000 -0.120000 0.180000 -0.121914 0.174616
9.528500 -0.120000 0.240000 -0.120000 0.180000 -0.123191 0.168349
9.529000 -0.130000 0.230000 -0.120000 0.180000 -0.124467 0.165216
9.529500 -0.130000 0.230000 -0.110000 0.180000 -0.124467 0.165216
9.530000 -0.120000 0.230000 -0.110000 0.180000 -0.123191 0.165216
9.530500 -0.110000 0.230000 -0.110000 0.180000 -0.121914 0.165216
9.531000 -0.090000 0.230000 -0.110000 0.180000 -0.119361 0.165216
9.531500 -0.070000 0.230000 -0.110000 0.180000 -0.116808 0.165216
9.532000 -0.060000 0.230000 -0.110000 0.170000 -0.115532 0.165216
9.532500 -0.060000 0.220000 -0.110000 0.170000 -0.115532 0.162083
9.533000 -0.060000 0.210000 -0.110000 0.170000 -0.115532 0.158950
9.533500 -0.070000 0.180000 -0.110000 0.170000 -0.116808 0.149550
9.534000 -0.070000 0.170000 -0.110000 0.170000 -0.116808 0.146417
9.534500 -0.070000 0.160000 -0.110000 0.160000 -0.116808 0.143284
9.535000 -0.060000 0.160000 -0.110000 0.160000 -0.115532 0.143284
9.535500 -0.050000 0.160000 -0.110000 0.160000 -0.114256 0.143284
9.536000 -0.050000 0.160000 -0.110000 0.160000 -0.114256 0.143284
9.536500 -0.050000 0.160000 -0.110000 0.150000 -0.114256 0.143284
9.537000 -0.050000 0.160000 -0.110000 0.150000 -0.114256 0.143284
9.537500 -0.050000 0.160000 -0.110000 0.150000 -0.114256 0.143284
9.538000 -0.050000 0.160000 -0.110000 0.150000 -0.114256 0.143284
9.538500 -0.050000 0.160000 -0.110000 0.150000 -0.114256 0.143284
9.539000 -0.050000 0.160000 -0.110000 0.150000 -0.114256 0.143284
9.539500 -0.050000 0.160000 -0.110000 0.150000 -0.114256 0.143284
9.540000 -0.050000 0.160000 -0.110000 0.150000 -0.114256 0.143284
