r[m]	z[m]	psi[Wb]	Bz[T]	Br[T]
0.113024	0.000000	0.000709	0.017614	0.000000
0.113024	0.000983	0.000709	0.017614	-0.000002
0.113024	0.001966	0.000709	0.017614	-0.000005
0.113024	0.002948	0.000709	0.017614	-0.000007
0.113024	0.003931	0.000709	0.017614	-0.000009
0.113024	0.004914	0.000709	0.017615	-0.000011
0.113024	0.005897	0.000709	0.017615	-0.000014
0.113024	0.006879	0.000710	0.017615	-0.000016
0.113024	0.007862	0.000710	0.017615	-0.000018
0.113024	0.008845	0.000710	0.017616	-0.000020
0.113024	0.009828	0.000710	0.017616	-0.000023
0.113024	0.010811	0.000710	0.017617	-0.000025
0.113024	0.011793	0.000710	0.017617	-0.000027
0.113024	0.012776	0.000710	0.017618	-0.000029
0.113024	0.013759	0.000710	0.017618	-0.000032
0.113024	0.014742	0.000710	0.017619	-0.000034
0.113024	0.015724	0.000710	0.017619	-0.000036
0.113024	0.016707	0.000710	0.017620	-0.000039
0.113024	0.017690	0.000710	0.017621	-0.000041
0.113024	0.018673	0.000710	0.017622	-0.000043
0.113024	0.019656	0.000710	0.017622	-0.000045
0.113024	0.020638	0.000710	0.017623	-0.000048
0.113024	0.021621	0.000710	0.017624	-0.000050
0.113024	0.022604	0.000710	0.017625	-0.000052
0.113024	0.023587	0.000710	0.017626	-0.000054
0.113024	0.024569	0.000710	0.017627	-0.000057
0.113024	0.025552	0.000710	0.017628	-0.000059
0.113024	0.026535	0.000710	0.017629	-0.000061
0.113024	0.027518	0.000710	0.017630	-0.000063
0.113024	0.028500	0.000710	0.017631	-0.000066
0.113024	0.029483	0.000710	0.017633	-0.000068
0.113024	0.030466	0.000710	0.017634	-0.000070
0.113024	0.031449	0.000710	0.017635	-0.000072
0.113024	0.032432	0.000710	0.017637	-0.000075
0.113024	0.033414	0.000710	0.017638	-0.000077
0.113024	0.034397	0.000710	0.017639	-0.000079
0.113024	0.035380	0.000710	0.017641	-0.000081
0.113024	0.036363	0.000711	0.017642	-0.000083
0.113024	0.037345	0.000711	0.017644	-0.000086
0.113024	0.038328	0.000711	0.017645	-0.000088
0.113024	0.039311	0.000711	0.017647	-0.000090
0.113024	0.040294	0.000711	0.017649	-0.000092
0.113024	0.041277	0.000711	0.017650	-0.000095
0.113024	0.042259	0.000711	0.017652	-0.000097
0.113024	0.043242	0.000711	0.017654	-0.000099
0.113024	0.044225	0.000711	0.017656	-0.000101
0.113024	0.045208	0.000711	0.017658	-0.000103
0.113024	0.046190	0.000711	0.017660	-0.000106
0.113024	0.047173	0.000711	0.017662	-0.000108
0.113024	0.048156	0.000711	0.017664	-0.000110
0.113024	0.049139	0.000711	0.017666	-0.000112
0.113024	0.050122	0.000712	0.017668	-0.000114
0.113024	0.051104	0.000712	0.017670	-0.000116
0.113024	0.052087	0.000712	0.017672	-0.000119
0.113024	0.053070	0.000712	0.017674	-0.000121
0.113024	0.054053	0.000712	0.017676	-0.000123
0.113024	0.055035	0.000712	0.017679	-0.000125
0.113024	0.056018	0.000712	0.017681	-0.000127
0.113024	0.057001	0.000712	0.017683	-0.000130
0.113024	0.057984	0.000712	0.017686	-0.000132
0.113024	0.058967	0.000712	0.017688	-0.000134
0.113024	0.059949	0.000712	0.017691	-0.000136
0.113024	0.060932	0.000712	0.017693	-0.000138
0.113024	0.061915	0.000713	0.017696	-0.000140
0.113024	0.062898	0.000713	0.017698	-0.000142
0.113024	0.063880	0.000713	0.017701	-0.000144
0.113024	0.064863	0.000713	0.017704	-0.000147
0.113024	0.065846	0.000713	0.017706	-0.000149
0.113024	0.066829	0.000713	0.017709	-0.000151
0.113024	0.067812	0.000713	0.017712	-0.000153
0.113024	0.068794	0.000713	0.017715	-0.000155
0.113024	0.069777	0.000713	0.017718	-0.000157
0.113024	0.070760	0.000714	0.017720	-0.000159
0.113024	0.071743	0.000714	0.017723	-0.000161
0.113024	0.072725	0.000714	0.017726	-0.000163
0.113024	0.073708	0.000714	0.017729	-0.000166
0.113024	0.074691	0.000714	0.017732	-0.000168
0.113024	0.075674	0.000714	0.017736	-0.000170
0.113024	0.076656	0.000714	0.017739	-0.000172
0.113024	0.077639	0.000714	0.017742	-0.000174
0.113024	0.078622	0.000714	0.017745	-0.000176
0.113024	0.079605	0.000715	0.017748	-0.000178
0.113024	0.080588	0.000715	0.017752	-0.000180
0.113024	0.081570	0.000715	0.017755	-0.000182
0.113024	0.082553	0.000715	0.017758	-0.000184
0.113024	0.083536	0.000715	0.017762	-0.000186
0.113024	0.084519	0.000715	0.017765	-0.000188
0.113024	0.085501	0.000715	0.017769	-0.000190
0.113024	0.086484	0.000715	0.017772	-0.000192
0.113024	0.087467	0.000716	0.017776	-0.000194
0.113024	0.088450	0.000716	0.017779	-0.000196
0.113024	0.089433	0.000716	0.017783	-0.000198
0.113024	0.090415	0.000716	0.017787	-0.000200
0.113024	0.091398	0.000716	0.017790	-0.000202
0.113024	0.092381	0.000716	0.017794	-0.000204
0.113024	0.093364	0.000716	0.017798	-0.000206
0.113024	0.094346	0.000717	0.017802	-0.000208
0.113024	0.095329	0.000717	0.017805	-0.000210
0.113024	0.096312	0.000717	0.017809	-0.000212
0.113024	0.097295	0.000717	0.017813	-0.000214
0.113024	0.098278	0.000717	0.017817	-0.000216
0.113024	0.099260	0.000717	0.017821	-0.000217
0.113024	0.100243	0.000717	0.017825	-0.000219
0.113024	0.101226	0.000718	0.017829	-0.000221
0.113024	0.102209	0.000718	0.017833	-0.000223
0.113024	0.103191	0.000718	0.017838	-0.000225
0.113024	0.104174	0.000718	0.017842	-0.000227
0.113024	0.105157	0.000718	0.017846	-0.000229
0.113024	0.106140	0.000718	0.017850	-0.000231
0.113024	0.107123	0.000719	0.017855	-0.000232
0.113024	0.108105	0.000719	0.017859	-0.000234
0.113024	0.109088	0.000719	0.017863	-0.000236
0.113024	0.110071	0.000719	0.017868	-0.000238
0.113024	0.111054	0.000719	0.017872	-0.000240
0.113024	0.112036	0.000719	0.017876	-0.000242
0.113024	0.113019	0.000720	0.017881	-0.000243
0.113024	0.114002	0.000720	0.017885	-0.000245
0.113024	0.114985	0.000720	0.017890	-0.000247
0.113024	0.115968	0.000720	0.017895	-0.000249
0.113024	0.116950	0.000720	0.017899	-0.000250
0.113024	0.117933	0.000720	0.017904	-0.000252
0.113024	0.118916	0.000721	0.017909	-0.000254
0.113024	0.119899	0.000721	0.017913	-0.000256
0.113024	0.120881	0.000721	0.017918	-0.000257
0.113024	0.121864	0.000721	0.017923	-0.000259
0.113024	0.122847	0.000721	0.017928	-0.000261
0.113024	0.123830	0.000722	0.017933	-0.000263
0.113024	0.124813	0.000722	0.017937	-0.000264
0.113024	0.125795	0.000722	0.017942	-0.000266
0.113024	0.126778	0.000722	0.017947	-0.000268
0.113024	0.127761	0.000722	0.017952	-0.000269
0.113024	0.128744	0.000722	0.017957	-0.000271
0.113024	0.129726	0.000723	0.017962	-0.000272
0.113024	0.130709	0.000723	0.017968	-0.000274
0.113024	0.131692	0.000723	0.017973	-0.000276
0.113024	0.132675	0.000723	0.017978	-0.000277
0.113024	0.133657	0.000723	0.017983	-0.000279
0.113024	0.134640	0.000724	0.017988	-0.000280
0.113024	0.135623	0.000724	0.017993	-0.000282
0.113024	0.136606	0.000724	0.017999	-0.000284
0.113024	0.137589	0.000724	0.018004	-0.000285
0.113024	0.138571	0.000724	0.018009	-0.000287
0.113024	0.139554	0.000725	0.018015	-0.000288
0.113024	0.140537	0.000725	0.018020	-0.000290
0.113024	0.141520	0.000725	0.018026	-0.000291
0.113024	0.142502	0.000725	0.018031	-0.000293
0.113024	0.143485	0.000725	0.018037	-0.000294
0.113024	0.144468	0.000726	0.018042	-0.000295
0.113024	0.145451	0.000726	0.018048	-0.000297
0.113024	0.146434	0.000726	0.018053	-0.000298
0.113024	0.147416	0.000726	0.018059	-0.000300
0.113024	0.148399	0.000726	0.018064	-0.000301
0.113024	0.149382	0.000727	0.018070	-0.000302
0.113024	0.150365	0.000727	0.018076	-0.000304
0.113024	0.151347	0.000727	0.018082	-0.000305
0.113024	0.152330	0.000727	0.018087	-0.000307
0.113024	0.153313	0.000728	0.018093	-0.000308
0.113024	0.154296	0.000728	0.018099	-0.000309
0.113024	0.155279	0.000728	0.018105	-0.000310
0.113024	0.156261	0.000728	0.018111	-0.000312
0.113024	0.157244	0.000728	0.018116	-0.000313
0.113024	0.158227	0.000729	0.018122	-0.000314
0.113024	0.159210	0.000729	0.018128	-0.000315
0.113024	0.160192	0.000729	0.018134	-0.000317
0.113024	0.161175	0.000729	0.018140	-0.000318
0.113024	0.162158	0.000729	0.018146	-0.000319
0.113024	0.163141	0.000730	0.018152	-0.000320
0.113024	0.164124	0.000730	0.018158	-0.000321
0.113024	0.165106	0.000730	0.018164	-0.000323
0.113024	0.166089	0.000730	0.018171	-0.000324
0.113024	0.167072	0.000731	0.018177	-0.000325
0.113024	0.168055	0.000731	0.018183	-0.000326
0.113024	0.169037	0.000731	0.018189	-0.000327
0.113024	0.170020	0.000731	0.018195	-0.000328
0.113024	0.171003	0.000732	0.018201	-0.000329
0.113024	0.171986	0.000732	0.018208	-0.000330
0.113024	0.172969	0.000732	0.018214	-0.000331
0.113024	0.173951	0.000732	0.018220	-0.000332
0.113024	0.174934	0.000732	0.018227	-0.000333
0.113024	0.175917	0.000733	0.018233	-0.000334
0.113024	0.176900	0.000733	0.018239	-0.000335
0.113024	0.177882	0.000733	0.018246	-0.000336
0.113024	0.178865	0.000733	0.018252	-0.000337
0.113024	0.179848	0.000734	0.018259	-0.000338
0.113024	0.180831	0.000734	0.018265	-0.000338
0.113024	0.181813	0.000734	0.018272	-0.000339
0.113024	0.182796	0.000734	0.018278	-0.000340
0.113024	0.183779	0.000735	0.018285	-0.000341
0.113024	0.184762	0.000735	0.018291	-0.000342
0.113024	0.185745	0.000735	0.018298	-0.000342
0.113024	0.186727	0.000735	0.018304	-0.000343
0.113024	0.187710	0.000736	0.018311	-0.000344
0.113024	0.188693	0.000736	0.018317	-0.000345
0.113024	0.189676	0.000736	0.018324	-0.000345
0.113024	0.190658	0.000736	0.018331	-0.000346
0.113024	0.191641	0.000736	0.018337	-0.000347
0.113024	0.192624	0.000737	0.018344	-0.000347
0.113024	0.193607	0.000737	0.018351	-0.000348
0.113024	0.194590	0.000737	0.018357	-0.000348
0.113024	0.195572	0.000737	0.018364	-0.000349
0.113024	0.196555	0.000738	0.018371	-0.000349
0.113024	0.197538	0.000738	0.018378	-0.000350
0.113024	0.198521	0.000738	0.018384	-0.000350
0.113024	0.199503	0.000738	0.018391	-0.000351
0.113024	0.200486	0.000739	0.018398	-0.000351
0.113024	0.201469	0.000739	0.018405	-0.000352
0.113024	0.202452	0.000739	0.018412	-0.000352
0.113024	0.203435	0.000739	0.018419	-0.000352
0.113024	0.204417	0.000740	0.018425	-0.000353
0.113024	0.205400	0.000740	0.018432	-0.000353
0.113024	0.206383	0.000740	0.018439	-0.000353
0.113024	0.207366	0.000740	0.018446	-0.000354
0.113024	0.208348	0.000741	0.018453	-0.000354
0.113024	0.209331	0.000741	0.018460	-0.000354
0.113024	0.210314	0.000741	0.018467	-0.000354
0.113024	0.211297	0.000741	0.018474	-0.000354
0.113024	0.212280	0.000742	0.018481	-0.000355
0.113024	0.213262	0.000742	0.018488	-0.000355
0.113024	0.214245	0.000742	0.018495	-0.000355
0.113024	0.215228	0.000742	0.018502	-0.000355
0.113024	0.216211	0.000743	0.018509	-0.000355
0.113024	0.217193	0.000743	0.018516	-0.000355
0.113024	0.218176	0.000743	0.018523	-0.000355
0.113024	0.219159	0.000743	0.018530	-0.000355
0.113024	0.220142	0.000744	0.018537	-0.000355
0.113024	0.221125	0.000744	0.018544	-0.000355
0.113024	0.222107	0.000744	0.018551	-0.000355
0.113024	0.223090	0.000744	0.018558	-0.000354
0.113024	0.224073	0.000745	0.018565	-0.000354
0.113024	0.225056	0.000745	0.018572	-0.000354
0.113024	0.226038	0.000745	0.018579	-0.000354
0.113024	0.227021	0.000745	0.018586	-0.000353
0.113024	0.228004	0.000746	0.018593	-0.000353
0.113024	0.228987	0.000746	0.018600	-0.000353
0.113024	0.229969	0.000746	0.018607	-0.000352
0.113024	0.230952	0.000746	0.018615	-0.000352
0.113024	0.231935	0.000747	0.018622	-0.000352
0.113024	0.232918	0.000747	0.018629	-0.000351
0.113024	0.233901	0.000747	0.018636	-0.000351
0.113024	0.234883	0.000747	0.018643	-0.000350
0.113024	0.235866	0.000748	0.018650	-0.000349
0.113024	0.236849	0.000748	0.018657	-0.000349
0.113024	0.237832	0.000748	0.018664	-0.000348
0.113024	0.238814	0.000748	0.018671	-0.000348
0.113024	0.239797	0.000749	0.018678	-0.000347
0.113024	0.240780	0.000749	0.018685	-0.000346
0.113024	0.241763	0.000749	0.018692	-0.000345
0.113024	0.242746	0.000749	0.018699	-0.000344
0.113024	0.243728	0.000749	0.018707	-0.000344
0.113024	0.244711	0.000750	0.018714	-0.000343
0.113024	0.245694	0.000750	0.018721	-0.000342
0.113024	0.246677	0.000750	0.018728	-0.000341
0.113024	0.247659	0.000750	0.018735	-0.000340
0.113024	0.248642	0.000751	0.018742	-0.000339
0.113024	0.249625	0.000751	0.018749	-0.000338
