r[m]	z[m]	psi[T]	Bz[T]	Br[T]
0.12974	-0.85	0	0.008549223120609791	0
0.12974	-0.75	0	0.025989353590424924	0
0.12974	-0.65	0	0.03721170171536066	0
0.12974	-0.55	0	0.04054682746881555	0
0.12974	-0.45000000000000007	0	0.03228797459008896	0
0.12974	-0.3500000000000001	0	0.020802692359815134	0
0.12974	-0.2500000000000001	0	0.011175584734359685	0
0.12974	-0.15000000000000013	0	0.004809623915724724	0
0.12974	-0.050000000000000155	0	0.002773458382783627	0
0.12995	0.04999999999999982	0	0.001720178382783948	0
0.12995	0.1499999999999998	0	0.004217216915725708	0
0.12995	0.24999999999999967	0	0.010133032734361327	0
0.12995	0.34999999999999976	0	0.019719355359817437	0
0.12995	0.44999999999999984	0	0.031264304590091864	0
0.12995	0.5499999999999997	0	0.04123799946881893	0
0.12995	0.6499999999999996	0	0.036318091715364265	0
0.12995	0.7499999999999997	0	0.023820824590428336	0
0.12995	0.8499999999999998	0	0.0032672011206124722	0
0.38615	0.99	0	0.03415311187532062	0
0.53615	0.99	0	-0.008330256817952898	0
0.58326	0.8499999999999998	0	-0.03276641355459704	0
0.58326	0.7499999999999997	0	-0.056379311418762866	0
0.58326	0.6499999999999996	0	-0.009454124825195288	0
0.58326	0.5499999999999997	0	-0.029020948423388288	0
0.58326	0.44999999999999984	0	-0.040124428269316455	0
0.58326	0.34999999999999976	0	-0.004582391984119627	0
0.58326	0.24999999999999967	0	-0.012331143476325256	0
0.58326	0.1499999999999998	0	-0.011987591462186203	0
0.58326	0.04999999999999982	0	-0.010901484716258621	0
0.58879	-0.15000000000000013	0	-0.01144211060014834	0
0.58879	-0.2500000000000001	0	-0.01414891608132655	0
0.58879	-0.3500000000000001	0	-0.005077037315718338	0
0.58879	-0.45000000000000007	0	-0.048751835487074284	0
0.58879	-0.55	0	-0.022243549239736933	0
0.58879	-0.65	0	-0.00666262059711745	0
0.58879	-0.75	0	-0.05466967403500601	0
0.58879	-0.85	0	-0.0038481379254501416	0
0.53615	-0.99	0	-0.029576511817957934	0
0.38615	-0.99	0	0.03714799787531871	0
