r[m]	z[m]	psi[T]	Bz[T]	Br[T]
0.108785	-0.997865	0.0004935610257595541	0	0
0.108785	-0.8804400000000001	0.000142386332714998	0	0
0.108785	-0.7697	0.0001461597596270238	0	0
0.108785	-0.67191	0.00012148739571212603	0	0
0.108785	-0.54804	0.00018066047078915042	0	0
0.108785	-0.33224000000000004	0.00022059032696521846	0	0
0.108785	-0.22184	0.0002442070929274322	0	0
0.108785	-0.11097	0.0002761133194766415	0	0
0.108785	0	0.00024109457476645786	0	0
0.108785	0.11097	0.00021254385947669613	0	0
0.108785	0.22184	0.00023386633292753824	0	0
0.108785	0.33224000000000004	0.00016365698696536694	0	0
0.108785	0.43699000000000005	0.00015434631797781734	0	0
0.108785	0.54804	8.436278078929698e-05	0	0
0.108785	0.67191	8.783810571218631e-05	0	0
0.108785	0.7697	9.139952962698467e-05	0	0
0.108785	0.8804400000000001	1.4911322714856296e-05	0	0
0.108785	0.997865	0.0003034692357593501	0	0
0.22539	0.999365	-0.05973982945821041	0	0
0.598	0.87694	-0.06744901005504664	0	0
0.598	0.74658	-0.07857435060005732	0	0
0.598	0.63813	-0.06948588195619419	0	0
0.598	0.51966	-0.07840315255735521	0	0
0.598	0.36641	-0.049689612926884535	0	0
0.78	0.35000000000000003	-0.008150477303268976	0	0
0.598	0.28300000000000003	-0.05425350527386606	0	0
0.598	-0.28300000000000003	-0.05605627957387081	0	0
0.78	-0.35000000000000003	-0.007467966803275409	0	0
0.598	-0.36641	-0.05048916282689142	0	0
0.598	-0.51966	-0.07798696755736886	0	0
0.598	-0.63813	-0.06834490055621786	0	0
0.598	-0.74658	-0.07748244660006456	0	0
0.598	-0.87694	-0.06435304955502341	0	0
