r[m]	z[m]	psi[Wb]	Bz[T]	Br[T]
0.113024	0.000000	0.000426	-0.077337	-0.000000
0.113024	0.000983	0.000426	-0.077337	-0.000007
0.113024	0.001966	0.000426	-0.077336	-0.000014
0.113024	0.002948	0.000426	-0.077334	-0.000021
0.113024	0.003931	0.000426	-0.077331	-0.000028
0.113024	0.004914	0.000426	-0.077328	-0.000035
0.113024	0.005897	0.000426	-0.077324	-0.000042
0.113024	0.006879	0.000426	-0.077320	-0.000049
0.113024	0.007862	0.000427	-0.077315	-0.000056
0.113024	0.008845	0.000427	-0.077309	-0.000063
0.113024	0.009828	0.000427	-0.077302	-0.000070
0.113024	0.010811	0.000427	-0.077295	-0.000076
0.113024	0.011793	0.000427	-0.077287	-0.000083
0.113024	0.012776	0.000427	-0.077278	-0.000090
0.113024	0.013759	0.000427	-0.077269	-0.000097
0.113024	0.014742	0.000427	-0.077258	-0.000104
0.113024	0.015724	0.000427	-0.077248	-0.000111
0.113024	0.016707	0.000427	-0.077236	-0.000118
0.113024	0.017690	0.000427	-0.077224	-0.000125
0.113024	0.018673	0.000427	-0.077211	-0.000132
0.113024	0.019656	0.000427	-0.077197	-0.000139
0.113024	0.020638	0.000427	-0.077183	-0.000146
0.113024	0.021621	0.000428	-0.077168	-0.000153
0.113024	0.022604	0.000428	-0.077153	-0.000160
0.113024	0.023587	0.000428	-0.077136	-0.000167
0.113024	0.024569	0.000428	-0.077119	-0.000174
0.113024	0.025552	0.000428	-0.077101	-0.000181
0.113024	0.026535	0.000428	-0.077083	-0.000188
0.113024	0.027518	0.000428	-0.077064	-0.000195
0.113024	0.028500	0.000428	-0.077044	-0.000202
0.113024	0.029483	0.000429	-0.077023	-0.000209
0.113024	0.030466	0.000429	-0.077002	-0.000216
0.113024	0.031449	0.000429	-0.076980	-0.000222
0.113024	0.032432	0.000429	-0.076957	-0.000229
0.113024	0.033414	0.000429	-0.076934	-0.000236
0.113024	0.034397	0.000429	-0.076910	-0.000243
0.113024	0.035380	0.000430	-0.076885	-0.000250
0.113024	0.036363	0.000430	-0.076860	-0.000257
0.113024	0.037345	0.000430	-0.076834	-0.000264
