r[m]	z[m]	psi[Wb]	Bz[T]	Br[T]
0.113024	0.000000	0.000751	0.018616	0.000000
0.113024	0.000983	0.000751	0.018616	-0.000004
0.113024	0.001966	0.000751	0.018616	-0.000007
0.113024	0.002948	0.000751	0.018617	-0.000011
0.113024	0.003931	0.000751	0.018617	-0.000014
0.113024	0.004914	0.000751	0.018617	-0.000018
0.113024	0.005897	0.000751	0.018617	-0.000022
0.113024	0.006879	0.000751	0.018618	-0.000025
0.113024	0.007862	0.000751	0.018618	-0.000029
0.113024	0.008845	0.000751	0.018619	-0.000033
0.113024	0.009828	0.000751	0.018619	-0.000036
0.113024	0.010811	0.000751	0.018620	-0.000040
0.113024	0.011793	0.000751	0.018621	-0.000043
0.113024	0.012776	0.000751	0.018622	-0.000047
0.113024	0.013759	0.000752	0.018623	-0.000051
0.113024	0.014742	0.000752	0.018623	-0.000054
0.113024	0.015724	0.000752	0.018624	-0.000058
0.113024	0.016707	0.000752	0.018625	-0.000061
0.113024	0.017690	0.000752	0.018627	-0.000065
0.113024	0.018673	0.000752	0.018628	-0.000069
0.113024	0.019656	0.000752	0.018629	-0.000072
0.113024	0.020638	0.000752	0.018630	-0.000076
0.113024	0.021621	0.000752	0.018632	-0.000080
0.113024	0.022604	0.000752	0.018633	-0.000083
0.113024	0.023587	0.000752	0.018634	-0.000087
0.113024	0.024569	0.000752	0.018636	-0.000090
0.113024	0.025552	0.000752	0.018638	-0.000094
0.113024	0.026535	0.000752	0.018639	-0.000098
0.113024	0.027518	0.000752	0.018641	-0.000101
0.113024	0.028500	0.000752	0.018643	-0.000105
0.113024	0.029483	0.000752	0.018645	-0.000108
0.113024	0.030466	0.000752	0.018647	-0.000112
0.113024	0.031449	0.000753	0.018649	-0.000116
0.113024	0.032432	0.000753	0.018651	-0.000119
0.113024	0.033414	0.000753	0.018653	-0.000123
0.113024	0.034397	0.000753	0.018655	-0.000127
0.113024	0.035380	0.000753	0.018657	-0.000130
0.113024	0.036363	0.000753	0.018659	-0.000134
0.113024	0.037345	0.000753	0.018662	-0.000137
0.113024	0.038328	0.000753	0.018664	-0.000141
0.113024	0.039311	0.000753	0.018667	-0.000145
0.113024	0.040294	0.000753	0.018669	-0.000148
