r[m]	z[m]	psi[Wb]	Bz[T]	Br[T]
0.113024	0.000000	0.000719	0.017832	0.000000
0.113024	0.058967	0.000722	0.017918	-0.000159
0.113024	0.117933	0.000732	0.018171	-0.000308
0.113024	0.176900	0.000747	0.018577	-0.000432
0.113024	0.235866	0.000767	0.019105	-0.000510
0.113024	0.294833	0.000789	0.019700	-0.000503
0.113024	0.353799	0.000807	0.020260	-0.000344
0.113024	0.412766	0.000814	0.020601	0.000086
0.113024	0.471732	0.000794	0.020375	0.000995
0.113024	0.530699	0.000720	0.018851	0.002697
0.113024	0.589665	0.000554	0.014083	0.005308
0.113024	0.648632	0.000324	-0.007726	0.001961
0.113024	0.707598	0.000355	-0.102189	-0.003525
0.113024	0.766565	0.000561	-0.136768	-0.006060
0.113024	0.825531	0.000868	-0.115515	-0.008800
0.113024	0.884498	0.001314	-0.032602	-0.011032
0.113024	0.943465	0.001618	0.023598	-0.004583
0.121797	0.993586	0.002022	0.042856	-0.005324
0.180285	0.993586	0.004456	0.044862	-0.015149
0.238772	0.993586	0.008006	0.047230	-0.015604
0.297260	0.993586	0.012780	0.049647	-0.012701
0.355747	0.993586	0.018904	0.052444	-0.010193
0.414235	0.993586	0.026569	0.055968	-0.009113
0.472722	0.993586	0.036057	0.060598	-0.009640
0.531210	0.993586	0.047795	0.066874	-0.012120
0.589697	0.993586	0.062432	0.075605	-0.017748
0.593596	0.938551	0.058978	0.065492	-0.025073
0.593596	0.879584	0.053201	0.054154	-0.026710
0.593596	0.820618	0.047462	0.044954	-0.025132
0.593596	0.761651	0.042243	0.037928	-0.022198
0.593596	0.702685	0.037732	0.032813	-0.018797
0.593596	0.643718	0.033921	0.030447	-0.017168
0.593596	0.584751	0.030327	0.024876	-0.014923
0.593596	0.525785	0.027350	0.021743	-0.012240
0.593596	0.466818	0.024908	0.019455	-0.010031
0.593596	0.407852	0.022911	0.017692	-0.008189
0.593596	0.348885	0.021286	0.016317	-0.006619
0.593596	0.289919	0.019984	0.015251	-0.005251
0.642336	0.280091	0.022551	0.014019	-0.005315
0.689126	0.268298	0.024914	0.012804	-0.005215
0.689126	0.209331	0.023750	0.012278	-0.003921
0.689126	0.150365	0.022902	0.011897	-0.002741
0.689126	0.091398	0.022344	0.011647	-0.001636
0.689126	0.032432	0.022063	0.011521	-0.000575
