r[m]	z[m]	psi[Wb]	Bz[T]	Br[T]
0.129623	-0.851084	0	0.033324	0.004671
0.129623	-0.750841	0	0.008936	0.011705
0.129623	-0.650597	0	-0.064215	0.016734
0.129623	-0.551337	0	-0.089743	0.003389
0.129623	-0.451094	0	-0.043491	-0.012690
0.129623	-0.350851	0	0.006445	-0.006542
0.129623	-0.250608	0	0.013117	-0.002457
0.129623	-0.151347	0	0.014948	-0.000817
0.129623	-0.051104	0	0.015459	-0.000185
0.129623	0.049139	0	0.015463	0.000177
0.129623	0.149382	0	0.014967	0.000798
0.129623	0.248642	0	0.013178	0.002407
0.129623	0.348885	0	0.006693	0.006429
0.129623	0.449128	0	-0.041789	0.013143
0.129623	0.549372	0	-0.089574	-0.003137
0.129623	0.648632	0	-0.065354	-0.016423
0.129623	0.748875	0	0.008061	-0.012012
0.129623	0.849118	0	0.033055	-0.004733
0.386319	0.988672	0	0.053809	-0.007183
0.536628	0.988672	0	0.066761	-0.012840
0.583478	0.849118	0	0.049117	-0.025244
0.583478	0.748875	0	0.037625	-0.021678
0.583478	0.648632	0	0.030596	-0.017047
0.583478	0.549372	0	0.025741	-0.012653
0.583478	0.449128	0	0.022490	-0.008551
0.583478	0.348885	0	0.018671	-0.007347
0.583478	0.248642	0	0.015788	-0.004509
0.583478	0.149382	0	0.014325	-0.002462
0.583478	0.049139	0	0.013659	-0.000774
0.589334	-0.151347	0	0.014237	0.002533
0.589334	-0.250608	0	0.015686	0.004627
0.589334	-0.350851	0	0.018561	0.007587
0.589334	-0.451094	0	0.022307	0.008615
0.589334	-0.551337	0	0.025573	0.012860
0.589334	-0.650597	0	0.030437	0.017298
0.589334	-0.750841	0	0.037530	0.022068
0.589334	-0.851084	0	0.049293	0.025889
0.536628	-0.990638	0	0.066956	0.012593
0.386319	-0.990638	0	0.053877	0.007068
