r[m]	z[m]	psi[Wb]	Bz[T]	Br[T]
0.109126	-0.998500	0.001688	0	0
0.109126	-0.881550	0.001579	0	0
0.109126	-0.770496	0.001408	0	0
0.109126	-0.673201	0.001232	0	0
0.109126	-0.549372	0.000996	0	0
0.109126	-0.333161	0.000543	0	0
0.109126	-0.223090	0.000255	0	0
0.109126	-0.112036	-0.000101	0	0
0.109126	-0.000983	-0.000194	0	0
0.109126	0.110071	-0.000107	0	0
0.109126	0.221125	0.000249	0	0
0.109126	0.331195	0.000538	0	0
0.109126	0.436352	0.000773	0	0
0.109126	0.547406	0.000992	0	0
0.109126	0.671236	0.001228	0	0
0.109126	0.768531	0.001405	0	0
0.109126	0.879584	0.001576	0	0
0.109126	0.996534	0.001687	0	0
0.225274	0.998500	0.007345	0	0
0.599094	0.875653	0.053611	0	0
0.599094	0.745927	0.041197	0	0
0.599094	0.636839	0.033019	0	0
0.599094	0.518906	0.026308	0	0
0.599094	0.365593	0.020008	0	0
0.780636	0.348885	0.032696	0	0
0.599094	0.282057	0.017087	0	0
0.599094	-0.284022	0.017262	0	0
0.780636	-0.350851	0.032767	0	0
0.599094	-0.367558	0.020076	0	0
0.599094	-0.520871	0.026405	0	0
0.599094	-0.638804	0.033148	0	0
0.599094	-0.747892	0.041364	0	0
0.599094	-0.877619	0.053814	0	0
