r[m]	z[m]	psi[Wb]	Bz[T]	Br[T]
0.113024	0.000000	-0.000015	-0.135015	0.000000
0.113024	0.000983	-0.000015	-0.135012	-0.000022
0.113024	0.001966	-0.000015	-0.135004	-0.000043
0.113024	0.002948	-0.000015	-0.134991	-0.000065
0.113024	0.003931	-0.000014	-0.134973	-0.000086
0.113024	0.004914	-0.000014	-0.134949	-0.000108
0.113024	0.005897	-0.000014	-0.134921	-0.000129
0.113024	0.006879	-0.000014	-0.134887	-0.000151
0.113024	0.007862	-0.000014	-0.134848	-0.000172
0.113024	0.008845	-0.000014	-0.134803	-0.000194
0.113024	0.009828	-0.000014	-0.134754	-0.000215
0.113024	0.010811	-0.000014	-0.134699	-0.000237
0.113024	0.011793	-0.000014	-0.134639	-0.000258
0.113024	0.012776	-0.000013	-0.134574	-0.000279
0.113024	0.013759	-0.000013	-0.134504	-0.000300
0.113024	0.014742	-0.000013	-0.134429	-0.000322
0.113024	0.015724	-0.000013	-0.134348	-0.000343
0.113024	0.016707	-0.000012	-0.134263	-0.000364
0.113024	0.017690	-0.000012	-0.134172	-0.000385
0.113024	0.018673	-0.000012	-0.134076	-0.000405
0.113024	0.019656	-0.000012	-0.133975	-0.000426
0.113024	0.020638	-0.000011	-0.133870	-0.000447
0.113024	0.021621	-0.000011	-0.133759	-0.000468
0.113024	0.022604	-0.000011	-0.133643	-0.000488
0.113024	0.023587	-0.000010	-0.133522	-0.000508
0.113024	0.024569	-0.000010	-0.133396	-0.000529
0.113024	0.025552	-0.000010	-0.133265	-0.000549
0.113024	0.026535	-0.000009	-0.133129	-0.000569
0.113024	0.027518	-0.000009	-0.132989	-0.000589
0.113024	0.028500	-0.000008	-0.132843	-0.000609
0.113024	0.029483	-0.000008	-0.132693	-0.000629
0.113024	0.030466	-0.000007	-0.132538	-0.000648
0.113024	0.031449	-0.000007	-0.132378	-0.000668
0.113024	0.032432	-0.000007	-0.132213	-0.000687
0.113024	0.033414	-0.000006	-0.132043	-0.000706
0.113024	0.034397	-0.000006	-0.131869	-0.000726
0.113024	0.035380	-0.000005	-0.131690	-0.000745
0.113024	0.036363	-0.000005	-0.131506	-0.000763
0.113024	0.037345	-0.000004	-0.131318	-0.000782
0.113024	0.038328	-0.000003	-0.131125	-0.000801
0.113024	0.039311	-0.000003	-0.130927	-0.000819
