r[m]	z[m]	psi[Wb]	Bz[T]	Br[T]
0.689126	0.000000	0.026125	0.039492	-0.000001
0.689126	0.135623	0.026978	0.033912	-0.002921
0.689126	0.234883	0.028740	0.022315	-0.005376
0.670605	0.280091	0.028798	0.014345	-0.010634
0.622840	0.280091	0.025838	0.016727	-0.025506
0.593596	0.343971	0.025672	0.034367	-0.007516
0.593596	0.462887	0.029538	0.026096	-0.010214
0.593596	0.581803	0.034918	0.026214	-0.014245
0.593596	0.700719	0.042355	0.031591	-0.019479
0.593596	0.819635	0.052266	0.043469	-0.025039
0.593596	0.938551	0.063783	0.064770	-0.024784
0.537058	0.993586	0.053899	0.067429	-0.011564
0.414235	0.993586	0.031398	0.055969	-0.005508
0.292386	0.993586	0.017102	0.050003	-0.003019
0.169562	0.993586	0.008478	0.046850	-0.001438
0.113024	0.943465	0.006109	0.044857	-0.001300
0.113024	0.832411	0.005970	0.040601	-0.002152
0.113024	0.721357	0.005782	0.034563	-0.002530
0.113024	0.610304	0.005581	0.026857	-0.002544
0.113024	0.499250	0.005385	0.016397	-0.002410
0.113024	0.388196	0.005198	-0.000053	-0.002373
0.113024	0.277143	0.005005	-0.028125	-0.002544
0.113024	0.166089	0.004809	-0.067021	-0.002243
0.113024	0.055035	0.004682	-0.095171	-0.000854
0.604319	0.000000	0.011935	0.043840	-0.000027
0.604319	0.057984	0.012473	0.042604	-0.004802
0.604319	0.114985	0.013977	0.039364	-0.008997
0.604319	0.172969	0.016388	0.034920	-0.012923
0.604319	0.229969	0.019703	0.030696	-0.018332
