r[m]	z[m]	psi[Wb]	Bz[T]	Br[T]
0.129623	-0.851084	0	0.038868	0.003059
0.129623	-0.750841	0	0.030367	0.004369
0.129623	-0.650597	0	0.013981	0.007459
0.129623	-0.551337	0	-0.033970	0.016205
0.129623	-0.451094	0	-0.072615	0.007345
0.129623	-0.350851	0	-0.074074	0.000564
0.129623	-0.250608	0	-0.033013	-0.009339
0.129623	-0.151347	0	0.001309	-0.005092
0.129623	-0.051104	0	0.006715	-0.001480
0.129623	0.049139	0	0.006756	0.001420
0.129623	0.149382	0	0.001509	0.005012
0.129623	0.248642	0	-0.031744	0.009635
0.129623	0.348885	0	-0.073711	-0.000426
0.129623	0.449128	0	-0.073002	-0.007207
0.129623	0.549372	0	-0.035075	-0.015999
0.129623	0.648632	0	0.013485	-0.007575
0.129623	0.748875	0	0.030150	-0.004401
0.129623	0.849118	0	0.038738	-0.003082
0.386319	0.988672	0	0.053601	-0.005965
0.536628	0.988672	0	0.066499	-0.012597
0.583478	0.849118	0	0.048200	-0.025302
0.583478	0.748875	0	0.036441	-0.021893
0.583478	0.648632	0	0.029757	-0.017627
0.583478	0.549372	0	0.026057	-0.013891
0.583478	0.449128	0	0.023430	-0.010695
0.583478	0.348885	0	0.020566	-0.007933
0.583478	0.248642	0	0.016838	-0.005184
0.583478	0.149382	0	0.014943	-0.002454
0.583478	0.049139	0	0.014035	-0.000720
0.589334	-0.151347	0	0.014847	0.002549
0.589334	-0.250608	0	0.016660	0.005366
0.589334	-0.350851	0	0.020478	0.008086
0.589334	-0.451094	0	0.023309	0.010795
0.589334	-0.551337	0	0.025911	0.013989
0.589334	-0.650597	0	0.029611	0.017817
0.589334	-0.750841	0	0.036359	0.022279
0.589334	-0.851084	0	0.048389	0.025969
0.536628	-0.990638	0	0.066705	0.012350
0.386319	-0.990638	0	0.053676	0.005852
