r[m]	z[m]	psi[Wb]	Bz[T]	Br[T]
0.113024	0.000000	0.000245	0.006809	0.000000
0.113024	0.098278	0.000156	0.004585	0.002610
0.113024	0.196555	-0.000103	-0.005548	0.003605
0.113024	0.294833	-0.000016	-0.068481	-0.003641
0.113024	0.393110	0.000257	-0.090943	-0.004132
0.113024	0.491388	0.000579	-0.071721	-0.005256
0.113024	0.589665	0.000997	-0.010465	-0.005608
0.113024	0.687943	0.001300	0.021376	-0.003538
0.113024	0.786220	0.001520	0.033711	-0.002808
0.113024	0.884498	0.001691	0.040726	-0.002060
0.113024	0.982776	0.001801	0.044997	-0.001061
0.199780	0.993586	0.005734	0.046771	-0.002547
0.297260	0.993586	0.013066	0.049624	-0.004084
0.394739	0.993586	0.024061	0.054306	-0.005879
0.492218	0.993586	0.039804	0.061983	-0.009204
0.589697	0.993586	0.062383	0.075144	-0.017726
0.593596	0.899240	0.055081	0.056703	-0.026796
0.593596	0.800962	0.045455	0.041366	-0.024800
0.593596	0.702685	0.037185	0.032384	-0.020255
0.593596	0.604407	0.030563	0.027448	-0.015994
0.593596	0.506129	0.025365	0.024541	-0.012495
0.593596	0.407852	0.021325	0.022030	-0.009636
0.593596	0.309574	0.018254	0.019084	-0.007171
0.661832	0.280091	0.021590	0.014166	-0.006352
0.689126	0.209331	0.021556	0.012988	-0.004414
0.689126	0.111054	0.020175	0.012391	-0.002157
0.689126	0.012776	0.019672	0.012121	-0.000240
