r[m]	z[m]	psi[Wb]	Bz[T]	Br[T]
0.113024	0.000000	0.000116	0.003766	0.000000
0.113024	0.058967	0.000076	0.002694	0.001896
0.113024	0.117933	-0.000040	-0.001043	0.003538
0.113024	0.176900	-0.000169	-0.012579	0.000318
0.113024	0.235866	-0.000090	-0.054438	-0.003264
0.113024	0.294833	0.000061	-0.078598	-0.003742
0.113024	0.353799	0.000220	-0.087206	-0.003878
0.113024	0.412766	0.000390	-0.082953	-0.004270
0.113024	0.471732	0.000584	-0.065605	-0.005073
0.113024	0.530699	0.000820	-0.032246	-0.006100
0.113024	0.589665	0.001049	0.000951	-0.004632
0.113024	0.648632	0.001219	0.017514	-0.003642
0.113024	0.707598	0.001361	0.026794	-0.003182
0.113024	0.766565	0.001488	0.032982	-0.002845
0.113024	0.825531	0.001599	0.037555	-0.002480
0.113024	0.884498	0.001694	0.041068	-0.002025
0.113024	0.943465	0.001767	0.043726	-0.001466
0.121797	0.993586	0.002104	0.045474	-0.001084
0.180285	0.993586	0.004654	0.046400	-0.002088
0.238772	0.993586	0.008278	0.047761	-0.002996
0.297260	0.993586	0.013073	0.049640	-0.003892
0.355747	0.993586	0.019178	0.052167	-0.004895
0.414235	0.993586	0.026792	0.055549	-0.006212
0.472722	0.993586	0.036206	0.060112	-0.008201
0.531210	0.993586	0.047853	0.066376	-0.011542
0.589697	0.993586	0.062390	0.075134	-0.017711
0.593596	0.938551	0.058924	0.064613	-0.025128
0.593596	0.879584	0.053122	0.052965	-0.026897
0.593596	0.820618	0.047319	0.043718	-0.025556
0.593596	0.761651	0.041967	0.036946	-0.023018
0.593596	0.702685	0.037211	0.032153	-0.020234
0.593596	0.643718	0.033056	0.028835	-0.017593
0.593596	0.584751	0.029452	0.026568	-0.015225
0.593596	0.525785	0.026338	0.024985	-0.013147
0.593596	0.466818	0.023651	0.023737	-0.011327
0.593596	0.407852	0.021340	0.022511	-0.009722
0.593596	0.348885	0.019363	0.021111	-0.008282
0.593596	0.289919	0.017672	0.020173	-0.007642
0.642336	0.280091	0.020352	0.014612	-0.007007
0.689126	0.268298	0.022768	0.013391	-0.006181
0.689126	0.209331	0.021380	0.013173	-0.004687
0.689126	0.150365	0.020376	0.012790	-0.003190
0.689126	0.091398	0.019735	0.012510	-0.001856
0.689126	0.032432	0.019418	0.012351	-0.000643
