r[m]	z[m]	psi[Wb]	Bz[T]	Br[T]
0.113024	0.000000	-0.000427	-0.011160	0.000000
0.113024	0.000983	-0.000427	-0.011161	0.000011
0.113024	0.001966	-0.000427	-0.011164	0.000022
0.113024	0.002948	-0.000427	-0.011168	0.000033
0.113024	0.003931	-0.000427	-0.011175	0.000044
0.113024	0.004914	-0.000427	-0.011183	0.000054
0.113024	0.005897	-0.000427	-0.011193	0.000064
0.113024	0.006879	-0.000427	-0.011206	0.000074
0.113024	0.007862	-0.000427	-0.011220	0.000084
0.113024	0.008845	-0.000427	-0.011236	0.000093
0.113024	0.009828	-0.000427	-0.011254	0.000102
0.113024	0.010811	-0.000427	-0.011273	0.000110
0.113024	0.011793	-0.000427	-0.011295	0.000117
0.113024	0.012776	-0.000427	-0.011319	0.000124
0.113024	0.013759	-0.000428	-0.011344	0.000131
0.113024	0.014742	-0.000428	-0.011372	0.000136
0.113024	0.015724	-0.000428	-0.011401	0.000141
0.113024	0.016707	-0.000428	-0.011433	0.000145
0.113024	0.017690	-0.000428	-0.011466	0.000147
0.113024	0.018673	-0.000428	-0.011502	0.000149
0.113024	0.019656	-0.000428	-0.011540	0.000150
0.113024	0.020638	-0.000428	-0.011579	0.000149
0.113024	0.021621	-0.000428	-0.011621	0.000147
0.113024	0.022604	-0.000428	-0.011665	0.000144
0.113024	0.023587	-0.000429	-0.011711	0.000140
0.113024	0.024569	-0.000429	-0.011760	0.000134
0.113024	0.025552	-0.000429	-0.011810	0.000126
0.113024	0.026535	-0.000429	-0.011863	0.000116
0.113024	0.027518	-0.000429	-0.011918	0.000105
0.113024	0.028500	-0.000429	-0.011976	0.000092
0.113024	0.029483	-0.000429	-0.012036	0.000077
0.113024	0.030466	-0.000429	-0.012098	0.000059
0.113024	0.031449	-0.000429	-0.012163	0.000039
0.113024	0.032432	-0.000429	-0.012230	0.000017
0.113024	0.033414	-0.000429	-0.012300	-0.000008
0.113024	0.034397	-0.000429	-0.012373	-0.000035
0.113024	0.035380	-0.000429	-0.012449	-0.000066
0.113024	0.036363	-0.000429	-0.012528	-0.000100
0.113024	0.037345	-0.000429	-0.012609	-0.000137
0.113024	0.038328	-0.000429	-0.012694	-0.000177
0.113024	0.039311	-0.000429	-0.012782	-0.000222
0.113024	0.040294	-0.000428	-0.012874	-0.000270
0.113024	0.041277	-0.000428	-0.012969	-0.000323
0.113024	0.042259	-0.000428	-0.013068	-0.000381
0.113024	0.043242	-0.000428	-0.013172	-0.000444
0.113024	0.044225	-0.000427	-0.013279	-0.000512
0.113024	0.045208	-0.000427	-0.013392	-0.000586
0.113024	0.046190	-0.000427	-0.013509	-0.000666
0.113024	0.047173	-0.000426	-0.013632	-0.000753
0.113024	0.048156	-0.000426	-0.013762	-0.000848
0.113024	0.049139	-0.000425	-0.013898	-0.000950
0.113024	0.050122	-0.000424	-0.014042	-0.001062
0.113024	0.051104	-0.000423	-0.014195	-0.001183
0.113024	0.052087	-0.000423	-0.014358	-0.001315
0.113024	0.053070	-0.000422	-0.014533	-0.001461
0.113024	0.054053	-0.000421	-0.014721	-0.001628
0.113024	0.055035	-0.000419	-0.014920	-0.001846
0.113024	0.056018	-0.000418	-0.015119	-0.000728
0.113024	0.057001	-0.000418	-0.015885	-0.000428
0.113024	0.057984	-0.000417	-0.016324	-0.001756
0.113024	0.058967	-0.000416	-0.016661	-0.002263
0.113024	0.059949	-0.000414	-0.016999	-0.002475
0.113024	0.060932	-0.000412	-0.017350	-0.002633
0.113024	0.061915	-0.000411	-0.017716	-0.002770
0.113024	0.062898	-0.000409	-0.018096	-0.002890
0.113024	0.063880	-0.000406	-0.018488	-0.002998
0.113024	0.064863	-0.000404	-0.018892	-0.003094
0.113024	0.065846	-0.000402	-0.019307	-0.003178
0.113024	0.066829	-0.000400	-0.019732	-0.003253
0.113024	0.067812	-0.000398	-0.020168	-0.003318
0.113024	0.068794	-0.000395	-0.020614	-0.003373
0.113024	0.069777	-0.000393	-0.021070	-0.003420
0.113024	0.070760	-0.000391	-0.021537	-0.003458
0.113024	0.071743	-0.000388	-0.022014	-0.003487
0.113024	0.072725	-0.000386	-0.022501	-0.003508
0.113024	0.073708	-0.000383	-0.023000	-0.003521
0.113024	0.074691	-0.000381	-0.023510	-0.003526
0.113024	0.075674	-0.000378	-0.024032	-0.003522
0.113024	0.076656	-0.000376	-0.024567	-0.003509
0.113024	0.077639	-0.000373	-0.025116	-0.003488
0.113024	0.078622	-0.000371	-0.025678	-0.003457
0.113024	0.079605	-0.000369	-0.026257	-0.003416
0.113024	0.080588	-0.000366	-0.026852	-0.003363
0.113024	0.081570	-0.000364	-0.027466	-0.003297
0.113024	0.082553	-0.000362	-0.028104	-0.003212
0.113024	0.083536	-0.000359	-0.028771	-0.003169
0.113024	0.084519	-0.000357	-0.029396	-0.003198
0.113024	0.085501	-0.000355	-0.030018	-0.003255
0.113024	0.086484	-0.000353	-0.030638	-0.003319
0.113024	0.087467	-0.000350	-0.031256	-0.003385
0.113024	0.088450	-0.000348	-0.031872	-0.003449
0.113024	0.089433	-0.000345	-0.032484	-0.003509
0.113024	0.090415	-0.000343	-0.033092	-0.003566
0.113024	0.091398	-0.000340	-0.033693	-0.003619
0.113024	0.092381	-0.000338	-0.034289	-0.003668
0.113024	0.093364	-0.000335	-0.034877	-0.003713
0.113024	0.094346	-0.000333	-0.035459	-0.003756
0.113024	0.095329	-0.000330	-0.036035	-0.003798
0.113024	0.096312	-0.000327	-0.036605	-0.003837
0.113024	0.097295	-0.000325	-0.037169	-0.003874
0.113024	0.098278	-0.000322	-0.037727	-0.003909
0.113024	0.099260	-0.000319	-0.038281	-0.003942
0.113024	0.100243	-0.000317	-0.038828	-0.003974
0.113024	0.101226	-0.000314	-0.039370	-0.004003
0.113024	0.102209	-0.000311	-0.039907	-0.004030
0.113024	0.103191	-0.000308	-0.040438	-0.004055
0.113024	0.104174	-0.000305	-0.040964	-0.004079
0.113024	0.105157	-0.000302	-0.041484	-0.004102
0.113024	0.106140	-0.000300	-0.041998	-0.004123
0.113024	0.107123	-0.000297	-0.042508	-0.004142
0.113024	0.108105	-0.000294	-0.043012	-0.004160
0.113024	0.109088	-0.000291	-0.043511	-0.004177
0.113024	0.110071	-0.000288	-0.044006	-0.004193
0.113024	0.111054	-0.000285	-0.044495	-0.004208
0.113024	0.112036	-0.000282	-0.044979	-0.004222
0.113024	0.113019	-0.000279	-0.045458	-0.004234
0.113024	0.114002	-0.000276	-0.045932	-0.004246
0.113024	0.114985	-0.000273	-0.046402	-0.004257
0.113024	0.115968	-0.000270	-0.046867	-0.004267
0.113024	0.116950	-0.000267	-0.047327	-0.004276
0.113024	0.117933	-0.000264	-0.047782	-0.004284
0.113024	0.118916	-0.000261	-0.048233	-0.004292
0.113024	0.119899	-0.000258	-0.048680	-0.004299
0.113024	0.120881	-0.000255	-0.049122	-0.004305
0.113024	0.121864	-0.000252	-0.049559	-0.004310
0.113024	0.122847	-0.000249	-0.049992	-0.004315
0.113024	0.123830	-0.000246	-0.050421	-0.004319
0.113024	0.124813	-0.000243	-0.050846	-0.004323
0.113024	0.125795	-0.000240	-0.051266	-0.004326
0.113024	0.126778	-0.000237	-0.051682	-0.004329
0.113024	0.127761	-0.000234	-0.052093	-0.004331
0.113024	0.128744	-0.000231	-0.052501	-0.004332
0.113024	0.129726	-0.000228	-0.052904	-0.004333
0.113024	0.130709	-0.000225	-0.053304	-0.004334
0.113024	0.131692	-0.000222	-0.053699	-0.004334
0.113024	0.132675	-0.000219	-0.054091	-0.004334
0.113024	0.133657	-0.000216	-0.054478	-0.004333
0.113024	0.134640	-0.000213	-0.054861	-0.004332
0.113024	0.135623	-0.000210	-0.055241	-0.004331
0.113024	0.136606	-0.000207	-0.055616	-0.004329
0.113024	0.137589	-0.000204	-0.055988	-0.004327
0.113024	0.138571	-0.000201	-0.056356	-0.004324
0.113024	0.139554	-0.000198	-0.056720	-0.004322
0.113024	0.140537	-0.000195	-0.057081	-0.004319
0.113024	0.141520	-0.000192	-0.057437	-0.004316
0.113024	0.142502	-0.000189	-0.057790	-0.004312
0.113024	0.143485	-0.000186	-0.058140	-0.004308
0.113024	0.144468	-0.000183	-0.058485	-0.004304
0.113024	0.145451	-0.000180	-0.058827	-0.004300
0.113024	0.146434	-0.000177	-0.059166	-0.004296
0.113024	0.147416	-0.000174	-0.059500	-0.004291
0.113024	0.148399	-0.000171	-0.059832	-0.004286
0.113024	0.149382	-0.000168	-0.060159	-0.004281
0.113024	0.150365	-0.000165	-0.060484	-0.004276
0.113024	0.151347	-0.000162	-0.060804	-0.004271
0.113024	0.152330	-0.000159	-0.061122	-0.004266
0.113024	0.153313	-0.000156	-0.061436	-0.004260
0.113024	0.154296	-0.000153	-0.061746	-0.004254
0.113024	0.155279	-0.000150	-0.062053	-0.004248
0.113024	0.156261	-0.000147	-0.062357	-0.004242
0.113024	0.157244	-0.000144	-0.062657	-0.004236
0.113024	0.158227	-0.000141	-0.062954	-0.004230
0.113024	0.159210	-0.000138	-0.063247	-0.004224
0.113024	0.160192	-0.000135	-0.063538	-0.004217
0.113024	0.161175	-0.000132	-0.063825	-0.004211
0.113024	0.162158	-0.000129	-0.064109	-0.004205
0.113024	0.163141	-0.000126	-0.064389	-0.004198
0.113024	0.164124	-0.000124	-0.064667	-0.004191
0.113024	0.165106	-0.000121	-0.064941	-0.004185
0.113024	0.166089	-0.000118	-0.065212	-0.004178
0.113024	0.167072	-0.000115	-0.065480	-0.004172
0.113024	0.168055	-0.000112	-0.065744	-0.004165
0.113024	0.169037	-0.000109	-0.066006	-0.004159
0.113024	0.170020	-0.000106	-0.066264	-0.004152
0.113024	0.171003	-0.000103	-0.066520	-0.004146
0.113024	0.171986	-0.000100	-0.066772	-0.004139
0.113024	0.172969	-0.000097	-0.067022	-0.004133
0.113024	0.173951	-0.000094	-0.067269	-0.004127
0.113024	0.174934	-0.000092	-0.067514	-0.004121
0.113024	0.175917	-0.000089	-0.067756	-0.004114
0.113024	0.176900	-0.000086	-0.067995	-0.004106
0.113024	0.177882	-0.000083	-0.068231	-0.004098
0.113024	0.178865	-0.000080	-0.068463	-0.004089
0.113024	0.179848	-0.000077	-0.068692	-0.004081
0.113024	0.180831	-0.000074	-0.068917	-0.004072
0.113024	0.181813	-0.000072	-0.069139	-0.004064
0.113024	0.182796	-0.000069	-0.069359	-0.004056
0.113024	0.183779	-0.000066	-0.069575	-0.004048
0.113024	0.184762	-0.000063	-0.069788	-0.004041
0.113024	0.185745	-0.000060	-0.069999	-0.004033
0.113024	0.186727	-0.000057	-0.070206	-0.004026
0.113024	0.187710	-0.000055	-0.070411	-0.004018
0.113024	0.188693	-0.000052	-0.070613	-0.004011
0.113024	0.189676	-0.000049	-0.070812	-0.004004
0.113024	0.190658	-0.000046	-0.071008	-0.003996
0.113024	0.191641	-0.000044	-0.071202	-0.003989
