r[m]	z[m]	psi[Wb]	Bz[T]	Br[T]
0.109126	-0.998500	0.001685	0	0
0.109126	-0.881550	0.001574	0	0
0.109126	-0.770496	0.001401	0	0
0.109126	-0.673201	0.001220	0	0
0.109126	-0.549372	0.000977	0	0
0.109126	-0.333161	0.000503	0	0
0.109126	-0.223090	0.000205	0	0
0.109126	-0.112036	0.000113	0	0
0.109126	-0.000983	0.000148	0	0
0.109126	0.110071	0.000114	0	0
0.109126	0.221125	0.000199	0	0
0.109126	0.331195	0.000498	0	0
0.109126	0.436352	0.000744	0	0
0.109126	0.547406	0.000973	0	0
0.109126	0.671236	0.001217	0	0
0.109126	0.768531	0.001397	0	0
0.109126	0.879584	0.001571	0	0
0.109126	0.996534	0.001684	0	0
0.225274	0.998500	0.007332	0	0
0.599094	0.875653	0.053539	0	0
0.599094	0.745927	0.041093	0	0
0.599094	0.636839	0.032876	0	0
0.599094	0.518906	0.026105	0	0
0.599094	0.365593	0.019695	0	0
0.780636	0.348885	0.032696	0	0
0.599094	0.282057	0.016633	0	0
0.599094	-0.284022	0.016838	0	0
0.780636	-0.350851	0.032767	0	0
0.599094	-0.367558	0.019764	0	0
0.599094	-0.520871	0.026203	0	0
0.599094	-0.638804	0.033006	0	0
0.599094	-0.747892	0.041261	0	0
0.599094	-0.877619	0.053743	0	0
