r[m]	z[m]	psi[Wb]	Bz[T]	Br[T]
0.113024	0.000000	0.000355	-0.098981	0.000000
0.113024	0.000983	0.000355	-0.098980	-0.000015
0.113024	0.001966	0.000355	-0.098976	-0.000030
0.113024	0.002948	0.000355	-0.098970	-0.000045
0.113024	0.003931	0.000355	-0.098962	-0.000060
0.113024	0.004914	0.000355	-0.098951	-0.000076
0.113024	0.005897	0.000355	-0.098938	-0.000091
0.113024	0.006879	0.000355	-0.098923	-0.000106
0.113024	0.007862	0.000355	-0.098905	-0.000121
0.113024	0.008845	0.000356	-0.098884	-0.000136
0.113024	0.009828	0.000356	-0.098862	-0.000152
0.113024	0.010811	0.000356	-0.098837	-0.000167
0.113024	0.011793	0.000356	-0.098809	-0.000182
0.113024	0.012776	0.000356	-0.098779	-0.000197
0.113024	0.013759	0.000356	-0.098747	-0.000212
0.113024	0.014742	0.000356	-0.098712	-0.000228
0.113024	0.015724	0.000356	-0.098675	-0.000243
0.113024	0.016707	0.000357	-0.098635	-0.000258
0.113024	0.017690	0.000357	-0.098593	-0.000273
0.113024	0.018673	0.000357	-0.098549	-0.000288
0.113024	0.019656	0.000357	-0.098502	-0.000303
0.113024	0.020638	0.000357	-0.098453	-0.000319
0.113024	0.021621	0.000358	-0.098402	-0.000334
0.113024	0.022604	0.000358	-0.098348	-0.000349
0.113024	0.023587	0.000358	-0.098292	-0.000364
0.113024	0.024569	0.000358	-0.098233	-0.000379
0.113024	0.025552	0.000359	-0.098172	-0.000394
0.113024	0.026535	0.000359	-0.098108	-0.000410
0.113024	0.027518	0.000359	-0.098043	-0.000425
0.113024	0.028500	0.000360	-0.097974	-0.000440
0.113024	0.029483	0.000360	-0.097904	-0.000455
0.113024	0.030466	0.000360	-0.097831	-0.000470
0.113024	0.031449	0.000361	-0.097755	-0.000485
0.113024	0.032432	0.000361	-0.097678	-0.000500
0.113024	0.033414	0.000361	-0.097597	-0.000515
0.113024	0.034397	0.000362	-0.097515	-0.000530
0.113024	0.035380	0.000362	-0.097430	-0.000546
0.113024	0.036363	0.000362	-0.097343	-0.000561
0.113024	0.037345	0.000363	-0.097253	-0.000576
0.113024	0.038328	0.000363	-0.097161	-0.000591
0.113024	0.039311	0.000364	-0.097067	-0.000606
0.113024	0.040294	0.000364	-0.096970	-0.000621
0.113024	0.041277	0.000364	-0.096871	-0.000636
0.113024	0.042259	0.000365	-0.096769	-0.000651
0.113024	0.043242	0.000365	-0.096665	-0.000666
0.113024	0.044225	0.000366	-0.096559	-0.000681
0.113024	0.045208	0.000366	-0.096451	-0.000696
0.113024	0.046190	0.000367	-0.096340	-0.000711
0.113024	0.047173	0.000367	-0.096227	-0.000726
0.113024	0.048156	0.000368	-0.096111	-0.000741
0.113024	0.049139	0.000368	-0.095993	-0.000755
0.113024	0.050122	0.000369	-0.095873	-0.000770
0.113024	0.051104	0.000369	-0.095750	-0.000785
0.113024	0.052087	0.000370	-0.095625	-0.000800
0.113024	0.053070	0.000371	-0.095498	-0.000815
0.113024	0.054053	0.000371	-0.095368	-0.000830
0.113024	0.055035	0.000372	-0.095237	-0.000845
0.113024	0.056018	0.000372	-0.095102	-0.000859
0.113024	0.057001	0.000373	-0.094966	-0.000874
