r[m]	z[m]	psi[Wb]	Bz[T]	Br[T]
0.113024	0.000000	0.000245	0.006809	0.000000
0.113024	0.058967	0.000213	0.006051	0.001513
0.113024	0.117933	0.000116	0.003479	0.003174
0.113024	0.176900	-0.000047	-0.002221	0.004267
0.113024	0.235866	-0.000130	-0.027385	-0.000845
0.113024	0.294833	-0.000016	-0.068481	-0.003641
0.113024	0.353799	0.000145	-0.087386	-0.003983
0.113024	0.412766	0.000316	-0.090314	-0.004306
0.113024	0.471732	0.000507	-0.078985	-0.004933
0.113024	0.530699	0.000737	-0.050910	-0.006098
0.113024	0.589665	0.000997	-0.010465	-0.005608
0.113024	0.648632	0.001195	0.012838	-0.004038
0.113024	0.707598	0.001348	0.024593	-0.003361
0.113024	0.766565	0.001479	0.031834	-0.002939
0.113024	0.825531	0.001594	0.036925	-0.002535
0.113024	0.884498	0.001691	0.040726	-0.002060
0.113024	0.943465	0.001765	0.043566	-0.001490
0.121797	0.993586	0.002102	0.045435	-0.001122
0.180285	0.993586	0.004650	0.046367	-0.002216
0.238772	0.993586	0.008272	0.047736	-0.003175
0.297260	0.993586	0.013066	0.049624	-0.004084
0.355747	0.993586	0.019169	0.052159	-0.005073
0.414235	0.993586	0.026783	0.055547	-0.006358
0.472722	0.993586	0.036197	0.060115	-0.008305
0.531210	0.993586	0.047844	0.066384	-0.011600
0.589697	0.993586	0.062383	0.075144	-0.017726
0.593596	0.938551	0.058915	0.064663	-0.025142
0.593596	0.879584	0.053110	0.053059	-0.026914
0.593596	0.820618	0.047302	0.043860	-0.025575
0.593596	0.761651	0.041946	0.037137	-0.023040
0.593596	0.702685	0.037185	0.032384	-0.020255
0.593596	0.643718	0.033025	0.029076	-0.017611
0.593596	0.584751	0.029419	0.026762	-0.015234
0.593596	0.525785	0.026304	0.025044	-0.013137
0.593596	0.466818	0.023622	0.023563	-0.011288
0.593596	0.407852	0.021325	0.022030	-0.009636
0.593596	0.348885	0.019374	0.020294	-0.008121
0.593596	0.289919	0.017740	0.018677	-0.007005
0.642336	0.280091	0.020438	0.014697	-0.006474
0.689126	0.268298	0.022878	0.013373	-0.005944
0.689126	0.209331	0.021556	0.012988	-0.004414
0.689126	0.150365	0.020613	0.012604	-0.003005
0.689126	0.091398	0.020009	0.012305	-0.001755
0.689126	0.032432	0.019708	0.012141	-0.000610
