r[m]	z[m]	psi[Wb]	Bz[T]	Br[T]
0.689126	0.000000	0.018886	0.018006	-0.000117
0.689126	0.135623	0.021275	0.018717	-0.007285
0.689126	0.234883	0.025203	0.015045	-0.010692
0.670605	0.280091	0.026446	0.011078	-0.012920
0.622840	0.280091	0.024424	0.009175	-0.023141
0.593596	0.343971	0.025945	0.036582	-0.009003
0.593596	0.462887	0.029774	0.030668	-0.008867
0.593596	0.581803	0.034240	0.029568	-0.011868
0.593596	0.700719	0.040676	0.033694	-0.017324
0.593596	0.819635	0.049774	0.044696	-0.023462
0.593596	0.938551	0.060689	0.065600	-0.023735
0.537058	0.993586	0.050455	0.068250	-0.010554
0.414235	0.993586	0.027622	0.056955	-0.004691
0.292386	0.993586	0.013058	0.051094	-0.002492
0.169562	0.993586	0.004261	0.047808	-0.001051
0.113024	0.943465	0.001853	0.046082	-0.000931
0.113024	0.832411	0.001739	0.042326	-0.001791
0.113024	0.721357	0.001574	0.036836	-0.002293
0.113024	0.610304	0.001384	0.029541	-0.002507
0.113024	0.499250	0.001167	0.019141	-0.003009
0.113024	0.388196	0.000875	0.001387	-0.004642
0.113024	0.277143	0.000382	-0.033160	-0.008081
0.113024	0.166089	-0.000317	-0.083734	-0.008396
0.113024	0.055035	-0.001132	-0.088046	-0.014687
0.604319	0.000000	0.011715	0.023640	-0.000000
0.604319	0.057984	0.012151	0.023640	-0.003886
0.604319	0.114985	0.013411	0.023640	-0.007771
0.604319	0.172969	0.015586	0.023370	-0.012059
0.604319	0.229969	0.018832	0.022695	-0.018624
