r[m]	z[m]	psi[Wb]	Bz[T]	Br[T]
0.113024	0.000000	0.000355	-0.098981	0.000000
0.113024	0.029483	0.000360	-0.097904	-0.000455
0.113024	0.058967	0.000374	-0.094686	-0.000904
0.113024	0.088450	0.000398	-0.089407	-0.001333
0.113024	0.117933	0.000430	-0.082235	-0.001727
0.113024	0.147416	0.000470	-0.073459	-0.002065
0.113024	0.176900	0.000516	-0.063505	-0.002323
0.113024	0.206383	0.000566	-0.052922	-0.002488
0.113024	0.235866	0.000619	-0.042301	-0.002561
0.113024	0.265349	0.000673	-0.032163	-0.002562
0.113024	0.294833	0.000726	-0.022868	-0.002521
0.113024	0.324316	0.000778	-0.014592	-0.002465
0.113024	0.353799	0.000829	-0.007361	-0.002415
0.113024	0.383282	0.000880	-0.001106	-0.002380
0.113024	0.412766	0.000929	0.004290	-0.002364
0.113024	0.442249	0.000979	0.008956	-0.002367
0.113024	0.471732	0.001028	0.013016	-0.002385
0.113024	0.501216	0.001079	0.016581	-0.002414
0.113024	0.530699	0.001130	0.019744	-0.002450
0.113024	0.560182	0.001181	0.022584	-0.002488
0.113024	0.589665	0.001234	0.025164	-0.002523
0.113024	0.619149	0.001287	0.027532	-0.002551
0.113024	0.648632	0.001340	0.029727	-0.002568
0.113024	0.678115	0.001394	0.031777	-0.002568
0.113024	0.707598	0.001448	0.033700	-0.002548
0.113024	0.737082	0.001501	0.035509	-0.002503
0.113024	0.766565	0.001553	0.037208	-0.002430
0.113024	0.796048	0.001602	0.038797	-0.002326
0.113024	0.825531	0.001650	0.040272	-0.002189
0.113024	0.855015	0.001694	0.041627	-0.002018
0.113024	0.884498	0.001734	0.042849	-0.001811
0.113024	0.913981	0.001769	0.043930	-0.001571
0.113024	0.943465	0.001800	0.044857	-0.001300
0.113024	0.972948	0.001824	0.045620	-0.001001
0.121797	0.993586	0.002135	0.046153	-0.000883
0.151041	0.993586	0.003297	0.046549	-0.001223
0.180285	0.993586	0.004721	0.047043	-0.001563
0.209528	0.993586	0.006417	0.047642	-0.001912
0.238772	0.993586	0.008393	0.048355	-0.002277
0.268016	0.993586	0.010664	0.049196	-0.002666
0.297260	0.993586	0.013244	0.050178	-0.003092
0.326503	0.993586	0.016152	0.051320	-0.003567
0.355747	0.993586	0.019410	0.052645	-0.004111
0.384991	0.993586	0.023045	0.054183	-0.004747
0.414235	0.993586	0.027088	0.055968	-0.005511
0.443478	0.993586	0.031579	0.058047	-0.006446
0.472722	0.993586	0.036565	0.060475	-0.007620
0.501966	0.993586	0.042106	0.063325	-0.009124
0.531210	0.993586	0.048273	0.066687	-0.011096
0.560453	0.993586	0.055157	0.070669	-0.013747
0.589697	0.993586	0.062870	0.075396	-0.017404
0.593596	0.968034	0.062055	0.071021	-0.021902
0.593596	0.938551	0.059474	0.064769	-0.024783
0.593596	0.909067	0.056659	0.058646	-0.026191
0.593596	0.879584	0.053754	0.052998	-0.026491
0.593596	0.850101	0.050861	0.047974	-0.026028
0.593596	0.820618	0.048048	0.043605	-0.025077
0.593596	0.791134	0.045356	0.039857	-0.023840
0.593596	0.761651	0.042810	0.036671	-0.022455
0.593596	0.732168	0.040420	0.033981	-0.021014
0.593596	0.702685	0.038188	0.031729	-0.019574
0.593596	0.673201	0.036113	0.029867	-0.018173
0.593596	0.643718	0.034189	0.028355	-0.016831
0.593596	0.614235	0.032409	0.027169	-0.015558
0.593596	0.584751	0.030765	0.026293	-0.014361
0.593596	0.555268	0.029248	0.025725	-0.013241
0.593596	0.525785	0.027850	0.025473	-0.012197
0.593596	0.496302	0.026563	0.025559	-0.011226
0.593596	0.466818	0.025378	0.026020	-0.010329
0.593596	0.437335	0.024289	0.026917	-0.009504
0.593596	0.407852	0.023286	0.028346	-0.008754
0.593596	0.378369	0.022360	0.030481	-0.008094
0.593596	0.348885	0.021500	0.033697	-0.007578
0.593596	0.319402	0.020679	0.039181	-0.007502
0.593596	0.289919	0.019674	0.055493	-0.015698
0.613092	0.280091	0.020866	0.018556	-0.031544
0.642336	0.280091	0.022762	0.015347	-0.018000
0.671580	0.280091	0.024547	0.014318	-0.010412
0.689126	0.268298	0.025274	0.016216	-0.006287
0.689126	0.238814	0.024523	0.021656	-0.005483
0.689126	0.209331	0.023874	0.026141	-0.004685
0.689126	0.179848	0.023324	0.029737	-0.003943
0.689126	0.150365	0.022865	0.032646	-0.003252
0.689126	0.120881	0.022492	0.035005	-0.002594
0.689126	0.091398	0.022202	0.036869	-0.001953
0.689126	0.061915	0.021993	0.038239	-0.001321
0.689126	0.032432	0.021865	0.039097	-0.000691
0.689126	0.002948	0.021817	0.039422	-0.000063
