time discrepancy_out discrepancy_in discrepancy_total AdptedNumForReconstruction
9.525000 6.018991 18.568209 12.554524 52
9.525500 5.345386 18.534882 12.295540 52
9.526000 5.157940 23.789633 15.014106 52
9.526500 15.929516 12.200355 13.972446 52
9.527000 3.224614 12.678344 8.250768 53
9.527500 2.064799 11.697424 7.120016 52
9.528000 1.781203 9.655886 5.885348 52
9.528500 1.683153 13.501396 7.752911 52
9.529000 3.239454 17.965207 10.952250 53
9.529500 2.658994 12.950554 8.065384 53
9.530000 2.432546 14.452909 8.759682 53
9.530500 2.146460 11.191219 6.851158 53
9.531000 3.284626 11.865814 7.783584 53
9.531500 2.637803 17.641487 10.457457 53
9.532000 1.814039 83.880411 44.543479 53
9.532500 1.543008 8.752354 5.289318 52
9.533000 1.863460 18.063614 10.348491 52
9.533500 2.215077 11.303494 6.956470 52
9.534000 2.866090 94.204395 51.854086 54
9.534500 3.030108 14.296869 9.029887 54
9.535000 3.863061 20.780470 12.964419 54
