r[m]	z[m]	psi[T]	Bz[T]	Br[T]
0.108785	-0.997865	0.0007363592757595542	0	0
0.108785	-0.8804400000000001	0.0003914101527149978	0	0
0.108785	-0.7697	0.00023954381962702385	0	0
0.108785	-0.67191	0.00020864537571212605	0	0
0.108785	-0.54804	0.00027404402078915055	0	0
0.108785	-0.33224000000000004	0.00015833411696521843	0	0
0.108785	-0.22184	3.253704992743205e-05	0	0
0.108785	-0.11097	-6.62938975233584e-05	0	0
0.108785	0	-0.0001386663682335422	0	0
0.108785	0.11097	-0.00013608892752330396	0	0
0.108785	0.22184	3.519579927538342e-06	0	0
0.108785	0.33224000000000004	5.159672696536692e-05	0	0
0.108785	0.43699000000000005	0.00017302302797781734	0	0
0.108785	0.54804	0.00014661899078929712	0	0
0.108785	0.67191	0.00018744722571218634	0	0
0.108785	0.7697	0.00020346029962698482	0	0
0.108785	0.8804400000000001	0.0003510931227148564	0	0
0.108785	0.997865	0.0005711692557593501	0	0
0.22539	0.999365	-0.06564928045821042	0	0
0.598	0.87694	-0.041114783155046644	0	0
0.598	0.74658	-0.050404162700057334	0	0
0.598	0.63813	-0.03632426115619419	0	0
0.598	0.51966	-0.0492002524573552	0	0
0.598	0.36641	-0.026912510526884537	0	0
0.78	0.35000000000000003	-0.004191737803268975	0	0
0.598	0.28300000000000003	-0.052474940673866065	0	0
0.598	-0.28300000000000003	-0.053761358873870804	0	0
0.78	-0.35000000000000003	-0.0027633796032754086	0	0
0.598	-0.36641	-0.02667934822689142	0	0
0.598	-0.51966	-0.047980846857368864	0	0
0.598	-0.63813	-0.03415056614621786	0	0
0.598	-0.74658	-0.04822220650006457	0	0
0.598	-0.87694	-0.038649924555023404	0	0
