r[m]	z[m]	psi[T]	Bz[T]	Br[T]
0.12974	-0.85	0	-0.0004500941793902091	0
0.12974	-0.75	0	0.012344485390424924	0
0.12974	-0.65	0	0.016642961715360657	0
0.12974	-0.55	0	0.018034337468815546	0
0.12974	-0.45000000000000007	0	0.021296604590088968	0
0.12974	-0.3500000000000001	0	0.028144952359815137	0
0.12974	-0.2500000000000001	0	0.030545174734359685	0
0.12974	-0.15000000000000013	0	0.030873183915724724	0
0.12974	-0.050000000000000155	0	0.027230998382783627	0
0.12995	0.04999999999999982	0	0.02399269838278395	0
0.12995	0.1499999999999998	0	0.025658190915725704	0
0.12995	0.24999999999999967	0	0.02472496473436133	0
0.12995	0.34999999999999976	0	0.020245818359817435	0
0.12995	0.44999999999999984	0	0.01702178459009187	0
0.12995	0.5499999999999997	0	0.017253521468818932	0
0.12995	0.6499999999999996	0	0.016964701715364267	0
0.12995	0.7499999999999997	0	0.01095061459042834	0
0.12995	0.8499999999999998	0	-0.011776082879387528	0
0.38615	0.99	0	0.031121041875320617	0
0.53615	0.99	0	-0.010637239817952898	0
0.58326	0.8499999999999998	0	-0.060947961554597044	0
0.58326	0.7499999999999997	0	-0.09144501141876288	0
0.58326	0.6499999999999996	0	-0.01633400382519529	0
0.58326	0.5499999999999997	0	-0.05310360832338829	0
0.58326	0.44999999999999984	0	-0.07945424726931645	0
0.58326	0.34999999999999976	0	-0.022788187984119627	0
0.58326	0.24999999999999967	0	-0.017072178876325256	0
0.58326	0.1499999999999998	0	-0.023654981462186205	0
0.58326	0.04999999999999982	0	-0.02307538601625862	0
0.58879	-0.15000000000000013	0	-0.02362539760014834	0
0.58879	-0.2500000000000001	0	-0.018996883081326552	0
0.58879	-0.3500000000000001	0	-0.03014812631571834	0
0.58879	-0.45000000000000007	0	-0.0915020314870743	0
0.58879	-0.55	0	-0.040862657239736935	0
0.58879	-0.65	0	-0.01416213259711745	0
0.58879	-0.75	0	-0.09811877003500602	0
0.58879	-0.85	0	-0.008381572925450144	0
0.53615	-0.99	0	-0.04198471481795793	0
0.38615	-0.99	0	0.03804039887531872	0
