r[m]	z[m]	psi[Wb]	Bz[T]	Br[T]
0.113024	0.000000	0.004439	0.003877	0.000000
0.113024	0.000983	0.004439	0.003876	0.000023
0.113024	0.001966	0.004439	0.003876	0.000045
0.113024	0.002948	0.004439	0.003875	0.000068
0.113024	0.003931	0.004439	0.003873	0.000091
0.113024	0.004914	0.004439	0.003871	0.000114
0.113024	0.005897	0.004439	0.003870	0.000137
0.113024	0.006879	0.004439	0.003866	0.000159
0.113024	0.007862	0.004439	0.003864	0.000182
0.113024	0.008845	0.004439	0.003860	0.000204
0.113024	0.009828	0.004439	0.003857	0.000227
0.113024	0.010811	0.004438	0.003853	0.000250
0.113024	0.011793	0.004438	0.003848	0.000273
0.113024	0.012776	0.004438	0.003843	0.000295
0.113024	0.013759	0.004438	0.003837	0.000318
0.113024	0.014742	0.004438	0.003832	0.000341
0.113024	0.015724	0.004437	0.003825	0.000363
0.113024	0.016707	0.004437	0.003818	0.000387
0.113024	0.017690	0.004437	0.003812	0.000410
0.113024	0.018673	0.004436	0.003804	0.000432
0.113024	0.019656	0.004436	0.003797	0.000455
0.113024	0.020638	0.004436	0.003789	0.000478
0.113024	0.021621	0.004436	0.003780	0.000500
0.113024	0.022604	0.004435	0.003771	0.000523
0.113024	0.023587	0.004435	0.003761	0.000546
0.113024	0.024569	0.004434	0.003752	0.000569
0.113024	0.025552	0.004434	0.003741	0.000591
0.113024	0.026535	0.004434	0.003730	0.000614
0.113024	0.027518	0.004433	0.003720	0.000637
0.113024	0.028500	0.004433	0.003708	0.000660
0.113024	0.029483	0.004432	0.003696	0.000682
0.113024	0.030466	0.004432	0.003684	0.000705
0.113024	0.031449	0.004431	0.003671	0.000728
0.113024	0.032432	0.004431	0.003658	0.000752
0.113024	0.033414	0.004430	0.003644	0.000774
0.113024	0.034397	0.004430	0.003630	0.000796
0.113024	0.035380	0.004429	0.003616	0.000820
0.113024	0.036363	0.004428	0.003601	0.000843
0.113024	0.037345	0.004428	0.003587	0.000866
0.113024	0.038328	0.004427	0.003571	0.000888
0.113024	0.039311	0.004427	0.003555	0.000911
0.113024	0.040294	0.004426	0.003538	0.000934
0.113024	0.041277	0.004425	0.003521	0.000957
0.113024	0.042259	0.004425	0.003504	0.000980
0.113024	0.043242	0.004424	0.003486	0.001003
0.113024	0.044225	0.004423	0.003469	0.001025
0.113024	0.045208	0.004423	0.003450	0.001048
0.113024	0.046190	0.004422	0.003431	0.001072
0.113024	0.047173	0.004421	0.003412	0.001094
0.113024	0.048156	0.004420	0.003392	0.001117
0.113024	0.049139	0.004419	0.003372	0.001140
0.113024	0.050122	0.004419	0.003350	0.001162
0.113024	0.051104	0.004418	0.003329	0.001185
0.113024	0.052087	0.004417	0.003308	0.001209
0.113024	0.053070	0.004416	0.003286	0.001232
0.113024	0.054053	0.004415	0.003264	0.001255
0.113024	0.055035	0.004414	0.003241	0.001277
0.113024	0.056018	0.004414	0.003217	0.001300
0.113024	0.057001	0.004413	0.003194	0.001323
0.113024	0.057984	0.004412	0.003170	0.001346
0.113024	0.058967	0.004411	0.003145	0.001369
0.113024	0.059949	0.004410	0.003121	0.001392
0.113024	0.060932	0.004409	0.003095	0.001415
0.113024	0.061915	0.004408	0.003069	0.001437
0.113024	0.062898	0.004407	0.003043	0.001460
0.113024	0.063880	0.004406	0.003016	0.001483
0.113024	0.064863	0.004405	0.002989	0.001507
0.113024	0.065846	0.004404	0.002961	0.001529
0.113024	0.066829	0.004403	0.002932	0.001552
0.113024	0.067812	0.004401	0.002904	0.001575
0.113024	0.068794	0.004400	0.002876	0.001598
0.113024	0.069777	0.004399	0.002846	0.001620
0.113024	0.070760	0.004398	0.002815	0.001643
0.113024	0.071743	0.004397	0.002785	0.001666
0.113024	0.072725	0.004396	0.002754	0.001689
