r[m]	z[m]	psi[Wb]	Bz[T]	Br[T]
0.113024	0.000000	0.000760	0.018828	0.000000
0.113024	0.058967	0.000765	0.018945	-0.000224
0.113024	0.117933	0.000779	0.019296	-0.000448
0.113024	0.176900	0.000802	0.019881	-0.000671
0.113024	0.235866	0.000835	0.020699	-0.000890
0.113024	0.294833	0.000877	0.021747	-0.001099
0.113024	0.353799	0.000927	0.023010	-0.001286
0.113024	0.412766	0.000984	0.024462	-0.001426
0.113024	0.471732	0.001045	0.026047	-0.001481
0.113024	0.530699	0.001105	0.027665	-0.001375
0.113024	0.589665	0.001156	0.029130	-0.000971
0.113024	0.648632	0.001179	0.030100	-0.000004
0.113024	0.707598	0.001141	0.029910	0.002072
0.113024	0.766565	0.000974	0.027031	0.006408
0.113024	0.825531	0.000541	0.016324	0.015284
0.113024	0.884498	-0.000331	-0.062176	0.020250
0.113024	0.943465	-0.000175	-0.234985	-0.020893
0.121797	0.993586	0.001112	0.007395	-0.100022
0.180285	0.993586	0.003135	0.049807	-0.095734
0.238772	0.993586	0.007049	0.051255	-0.026300
0.297260	0.993586	0.012186	0.053137	-0.009630
0.355747	0.993586	0.018707	0.055579	-0.006008
0.414235	0.993586	0.026792	0.058790	-0.005817
0.472722	0.993586	0.036722	0.063219	-0.007133
0.531210	0.993586	0.048928	0.069312	-0.009923
0.589697	0.993586	0.064021	0.077500	-0.015470
0.593596	0.938551	0.061168	0.068270	-0.021703
0.593596	0.879584	0.056108	0.063296	-0.027928
0.593596	0.820618	0.049688	0.046433	-0.027965
0.593596	0.761651	0.043948	0.037698	-0.024217
0.593596	0.702685	0.039021	0.031679	-0.020643
0.593596	0.643718	0.034838	0.027254	-0.017470
0.593596	0.584751	0.031306	0.023897	-0.014715
0.593596	0.525785	0.028338	0.021299	-0.012340
0.593596	0.466818	0.025855	0.019263	-0.010287
0.593596	0.407852	0.023794	0.017657	-0.008499
0.593596	0.348885	0.022101	0.016388	-0.006926
0.593596	0.289919	0.020735	0.015395	-0.005524
0.642336	0.280091	0.023317	0.014142	-0.005522
0.689126	0.268298	0.025694	0.012916	-0.005375
0.689126	0.209331	0.024493	0.012417	-0.004055
0.689126	0.150365	0.023615	0.012054	-0.002840
0.689126	0.091398	0.023037	0.011817	-0.001698
0.689126	0.032432	0.022744	0.011697	-0.000597
