r[m]	z[m]	psi[Wb]	Bz[T]	Br[T]
0.113024	0.000000	0.000475	0.012226	0.000000
0.113024	0.058967	0.000458	0.011858	0.000816
0.113024	0.117933	0.000404	0.010630	0.001846
0.113024	0.176900	0.000298	0.008085	0.003269
0.113024	0.235866	0.000127	0.003024	0.004849
0.113024	0.294833	-0.000055	-0.011787	0.001059
0.113024	0.353799	0.000016	-0.064405	-0.003472
0.113024	0.412766	0.000182	-0.091727	-0.004274
0.113024	0.471732	0.000370	-0.097595	-0.004766
0.113024	0.530699	0.000583	-0.084866	-0.005589
0.113024	0.589665	0.000845	-0.050405	-0.007012
0.113024	0.648632	0.001128	-0.005097	-0.005693
0.113024	0.707598	0.001325	0.017510	-0.003971
0.113024	0.766565	0.001473	0.028673	-0.003198
0.113024	0.825531	0.001596	0.035451	-0.002656
0.113024	0.884498	0.001696	0.040094	-0.002120
0.113024	0.943465	0.001772	0.043428	-0.001522
0.121797	0.993586	0.002112	0.045610	-0.001191
0.180285	0.993586	0.004669	0.046553	-0.002523
0.238772	0.993586	0.008306	0.047938	-0.003594
0.297260	0.993586	0.013120	0.049838	-0.004508
0.355747	0.993586	0.019250	0.052382	-0.005427
0.414235	0.993586	0.026895	0.055771	-0.006600
0.472722	0.993586	0.036346	0.060334	-0.008425
0.531210	0.993586	0.048032	0.066592	-0.011603
0.589697	0.993586	0.062613	0.075337	-0.017622
0.593596	0.938551	0.059172	0.064961	-0.025014
0.593596	0.879584	0.053397	0.053478	-0.026762
0.593596	0.820618	0.047626	0.044402	-0.025392
0.593596	0.761651	0.042315	0.037792	-0.022813
0.593596	0.702685	0.037610	0.033111	-0.019967
0.593596	0.643718	0.033524	0.029787	-0.017231
0.593596	0.584751	0.030014	0.027322	-0.014721
0.593596	0.525785	0.027032	0.025307	-0.012428
0.593596	0.466818	0.024537	0.023453	-0.010286
0.593596	0.407852	0.022506	0.021681	-0.008175
0.593596	0.348885	0.020949	0.020346	-0.005953
0.593596	0.289919	0.019818	0.021450	-0.006202
0.642336	0.280091	0.023044	0.016096	-0.009759
0.689126	0.268298	0.025281	0.011754	-0.007924
0.689126	0.209331	0.023631	0.012647	-0.005250
0.689126	0.150365	0.022533	0.012482	-0.003434
0.689126	0.091398	0.021848	0.012250	-0.001975
0.689126	0.032432	0.021511	0.012111	-0.000682
