r[m]	z[m]	psi[Wb]	Bz[T]	Br[T]
0.113024	0.000000	0.000347	0.009198	0.000000
0.113024	0.058967	0.000324	0.008665	0.001135
0.113024	0.117933	0.000249	0.006879	0.002499
0.113024	0.176900	0.000111	0.003114	0.004105
0.113024	0.235866	-0.000076	-0.005082	0.003993
0.113024	0.294833	-0.000087	-0.047129	-0.002550
0.113024	0.353799	0.000060	-0.081409	-0.003977
0.113024	0.412766	0.000234	-0.094292	-0.004299
0.113024	0.471732	0.000424	-0.090276	-0.004845
0.113024	0.530699	0.000646	-0.069188	-0.005847
0.113024	0.589665	0.000919	-0.028144	-0.006772
0.113024	0.648632	0.001158	0.005738	-0.004680
0.113024	0.707598	0.001329	0.021498	-0.003627
0.113024	0.766565	0.001468	0.030296	-0.003071
0.113024	0.825531	0.001587	0.036103	-0.002610
0.113024	0.884498	0.001686	0.040284	-0.002107
0.113024	0.943465	0.001763	0.043360	-0.001522
0.121797	0.993586	0.002100	0.045381	-0.001170
0.180285	0.993586	0.004645	0.046321	-0.002378
0.238772	0.993586	0.008264	0.047701	-0.003396
0.297260	0.993586	0.013055	0.049600	-0.004319
0.355747	0.993586	0.019156	0.052145	-0.005287
0.414235	0.993586	0.026768	0.055542	-0.006530
0.472722	0.993586	0.036182	0.060117	-0.008426
0.531210	0.993586	0.047830	0.066390	-0.011669
0.589697	0.993586	0.062371	0.075154	-0.017745
0.593596	0.938551	0.058899	0.064716	-0.025161
0.593596	0.879584	0.053089	0.053161	-0.026936
0.593596	0.820618	0.047277	0.044012	-0.025600
0.593596	0.761651	0.041915	0.037333	-0.023067
0.593596	0.702685	0.037148	0.032607	-0.020281
0.593596	0.643718	0.032983	0.029283	-0.017631
0.593596	0.584751	0.029374	0.026883	-0.015241
0.593596	0.525785	0.026260	0.024988	-0.013120
0.593596	0.466818	0.023586	0.023248	-0.011233
0.593596	0.407852	0.021306	0.021422	-0.009523
0.593596	0.348885	0.019390	0.019428	-0.007913
0.593596	0.289919	0.017825	0.017403	-0.006369
0.642336	0.280091	0.020541	0.014751	-0.006034
0.689126	0.268298	0.022998	0.013353	-0.005707
0.689126	0.209331	0.021736	0.012871	-0.004205
0.689126	0.150365	0.020837	0.012445	-0.002869
0.689126	0.091398	0.020259	0.012133	-0.001680
0.689126	0.032432	0.019971	0.011967	-0.000585
