r[m]	z[m]	psi[Wb]	Bz[T]	Br[T]
0.113024	0.000000	-0.000154	-0.110677	0.000000
0.113024	0.000983	-0.000154	-0.110676	0.000002
0.113024	0.001966	-0.000154	-0.110673	0.000004
0.113024	0.002948	-0.000154	-0.110669	0.000006
0.113024	0.003931	-0.000154	-0.110663	0.000007
0.113024	0.004914	-0.000154	-0.110655	0.000009
0.113024	0.005897	-0.000154	-0.110645	0.000011
0.113024	0.006879	-0.000154	-0.110633	0.000013
0.113024	0.007862	-0.000154	-0.110620	0.000015
0.113024	0.008845	-0.000154	-0.110604	0.000017
0.113024	0.009828	-0.000154	-0.110587	0.000018
0.113024	0.010811	-0.000154	-0.110569	0.000020
0.113024	0.011793	-0.000154	-0.110548	0.000022
0.113024	0.012776	-0.000154	-0.110526	0.000024
0.113024	0.013759	-0.000154	-0.110501	0.000026
0.113024	0.014742	-0.000154	-0.110475	0.000027
0.113024	0.015724	-0.000154	-0.110448	0.000029
0.113024	0.016707	-0.000154	-0.110418	0.000031
0.113024	0.017690	-0.000154	-0.110387	0.000033
0.113024	0.018673	-0.000154	-0.110354	0.000034
0.113024	0.019656	-0.000154	-0.110319	0.000036
0.113024	0.020638	-0.000154	-0.110282	0.000038
0.113024	0.021621	-0.000154	-0.110244	0.000040
0.113024	0.022604	-0.000154	-0.110203	0.000041
0.113024	0.023587	-0.000154	-0.110161	0.000043
0.113024	0.024569	-0.000154	-0.110117	0.000045
0.113024	0.025552	-0.000154	-0.110072	0.000046
0.113024	0.026535	-0.000154	-0.110025	0.000048
0.113024	0.027518	-0.000154	-0.109975	0.000050
0.113024	0.028500	-0.000154	-0.109925	0.000051
0.113024	0.029483	-0.000154	-0.109872	0.000053
0.113024	0.030466	-0.000154	-0.109817	0.000054
0.113024	0.031449	-0.000154	-0.109761	0.000056
0.113024	0.032432	-0.000154	-0.109703	0.000057
0.113024	0.033414	-0.000154	-0.109643	0.000059
0.113024	0.034397	-0.000154	-0.109582	0.000060
0.113024	0.035380	-0.000154	-0.109519	0.000061
0.113024	0.036363	-0.000154	-0.109454	0.000063
0.113024	0.037345	-0.000154	-0.109387	0.000064
0.113024	0.038328	-0.000154	-0.109318	0.000065
0.113024	0.039311	-0.000155	-0.109248	0.000067
0.113024	0.040294	-0.000155	-0.109176	0.000068
0.113024	0.041277	-0.000155	-0.109102	0.000069
0.113024	0.042259	-0.000155	-0.109026	0.000070
0.113024	0.043242	-0.000155	-0.108948	0.000071
0.113024	0.044225	-0.000155	-0.108869	0.000072
0.113024	0.045208	-0.000155	-0.108788	0.000073
0.113024	0.046190	-0.000155	-0.108705	0.000074
0.113024	0.047173	-0.000155	-0.108621	0.000075
0.113024	0.048156	-0.000155	-0.108534	0.000075
0.113024	0.049139	-0.000155	-0.108446	0.000076
0.113024	0.050122	-0.000155	-0.108356	0.000077
0.113024	0.051104	-0.000155	-0.108265	0.000077
0.113024	0.052087	-0.000155	-0.108171	0.000078
0.113024	0.053070	-0.000155	-0.108076	0.000078
0.113024	0.054053	-0.000155	-0.107979	0.000079
0.113024	0.055035	-0.000155	-0.107880	0.000079
0.113024	0.056018	-0.000155	-0.107779	0.000079
0.113024	0.057001	-0.000155	-0.107677	0.000079
0.113024	0.057984	-0.000156	-0.107573	0.000079
0.113024	0.058967	-0.000156	-0.107467	0.000079
0.113024	0.059949	-0.000156	-0.107359	0.000079
0.113024	0.060932	-0.000156	-0.107249	0.000079
0.113024	0.061915	-0.000156	-0.107138	0.000078
0.113024	0.062898	-0.000156	-0.107024	0.000078
0.113024	0.063880	-0.000156	-0.106909	0.000077
0.113024	0.064863	-0.000156	-0.106792	0.000077
0.113024	0.065846	-0.000156	-0.106673	0.000076
0.113024	0.066829	-0.000156	-0.106553	0.000075
0.113024	0.067812	-0.000156	-0.106430	0.000074
0.113024	0.068794	-0.000156	-0.106306	0.000073
0.113024	0.069777	-0.000156	-0.106180	0.000072
0.113024	0.070760	-0.000156	-0.106052	0.000070
0.113024	0.071743	-0.000156	-0.105922	0.000069
0.113024	0.072725	-0.000156	-0.105790	0.000067
0.113024	0.073708	-0.000156	-0.105656	0.000065
0.113024	0.074691	-0.000156	-0.105521	0.000063
0.113024	0.075674	-0.000156	-0.105383	0.000061
0.113024	0.076656	-0.000156	-0.105244	0.000059
0.113024	0.077639	-0.000157	-0.105102	0.000057
0.113024	0.078622	-0.000157	-0.104959	0.000054
0.113024	0.079605	-0.000157	-0.104814	0.000051
0.113024	0.080588	-0.000157	-0.104667	0.000048
0.113024	0.081570	-0.000157	-0.104518	0.000045
0.113024	0.082553	-0.000157	-0.104367	0.000042
0.113024	0.083536	-0.000157	-0.104214	0.000039
0.113024	0.084519	-0.000157	-0.104059	0.000035
0.113024	0.085501	-0.000157	-0.103903	0.000031
0.113024	0.086484	-0.000157	-0.103744	0.000027
0.113024	0.087467	-0.000157	-0.103583	0.000023
0.113024	0.088450	-0.000157	-0.103420	0.000019
0.113024	0.089433	-0.000157	-0.103255	0.000014
0.113024	0.090415	-0.000157	-0.103089	0.000009
0.113024	0.091398	-0.000157	-0.102920	0.000004
0.113024	0.092381	-0.000157	-0.102749	-0.000001
0.113024	0.093364	-0.000157	-0.102576	-0.000007
0.113024	0.094346	-0.000157	-0.102401	-0.000012
0.113024	0.095329	-0.000157	-0.102224	-0.000018
0.113024	0.096312	-0.000157	-0.102045	-0.000025
0.113024	0.097295	-0.000157	-0.101864	-0.000031
0.113024	0.098278	-0.000157	-0.101681	-0.000038
0.113024	0.099260	-0.000157	-0.101496	-0.000045
0.113024	0.100243	-0.000157	-0.101308	-0.000052
0.113024	0.101226	-0.000157	-0.101119	-0.000060
0.113024	0.102209	-0.000157	-0.100927	-0.000067
0.113024	0.103191	-0.000157	-0.100734	-0.000075
0.113024	0.104174	-0.000157	-0.100538	-0.000084
0.113024	0.105157	-0.000156	-0.100340	-0.000092
0.113024	0.106140	-0.000156	-0.100140	-0.000101
0.113024	0.107123	-0.000156	-0.099938	-0.000111
0.113024	0.108105	-0.000156	-0.099733	-0.000120
0.113024	0.109088	-0.000156	-0.099527	-0.000130
0.113024	0.110071	-0.000156	-0.099318	-0.000141
0.113024	0.111054	-0.000156	-0.099107	-0.000151
0.113024	0.112036	-0.000156	-0.098894	-0.000162
0.113024	0.113019	-0.000156	-0.098678	-0.000174
0.113024	0.114002	-0.000156	-0.098461	-0.000185
0.113024	0.114985	-0.000155	-0.098241	-0.000198
0.113024	0.115968	-0.000155	-0.098019	-0.000210
0.113024	0.116950	-0.000155	-0.097795	-0.000223
0.113024	0.117933	-0.000155	-0.097568	-0.000236
0.113024	0.118916	-0.000155	-0.097340	-0.000250
0.113024	0.119899	-0.000155	-0.097108	-0.000264
0.113024	0.120881	-0.000154	-0.096875	-0.000279
0.113024	0.121864	-0.000154	-0.096640	-0.000294
0.113024	0.122847	-0.000154	-0.096402	-0.000310
0.113024	0.123830	-0.000154	-0.096161	-0.000326
0.113024	0.124813	-0.000154	-0.095919	-0.000343
0.113024	0.125795	-0.000153	-0.095674	-0.000360
0.113024	0.126778	-0.000153	-0.095427	-0.000378
0.113024	0.127761	-0.000153	-0.095177	-0.000396
0.113024	0.128744	-0.000153	-0.094925	-0.000415
0.113024	0.129726	-0.000152	-0.094671	-0.000434
0.113024	0.130709	-0.000152	-0.094414	-0.000454
0.113024	0.131692	-0.000152	-0.094155	-0.000475
0.113024	0.132675	-0.000151	-0.093893	-0.000496
0.113024	0.133657	-0.000151	-0.093629	-0.000518
0.113024	0.134640	-0.000151	-0.093363	-0.000541
0.113024	0.135623	-0.000150	-0.093094	-0.000564
0.113024	0.136606	-0.000150	-0.092823	-0.000588
0.113024	0.137589	-0.000149	-0.092549	-0.000613
0.113024	0.138571	-0.000149	-0.092273	-0.000638
0.113024	0.139554	-0.000148	-0.091994	-0.000665
0.113024	0.140537	-0.000148	-0.091713	-0.000692
0.113024	0.141520	-0.000148	-0.091429	-0.000720
0.113024	0.142502	-0.000147	-0.091143	-0.000748
0.113024	0.143485	-0.000146	-0.090854	-0.000778
0.113024	0.144468	-0.000146	-0.090563	-0.000809
0.113024	0.145451	-0.000145	-0.090270	-0.000840
0.113024	0.146434	-0.000145	-0.089973	-0.000873
0.113024	0.147416	-0.000144	-0.089675	-0.000906
0.113024	0.148399	-0.000143	-0.089373	-0.000941
0.113024	0.149382	-0.000143	-0.089070	-0.000977
0.113024	0.150365	-0.000142	-0.088763	-0.001013
0.113024	0.151347	-0.000141	-0.088455	-0.001051
0.113024	0.152330	-0.000141	-0.088143	-0.001091
0.113024	0.153313	-0.000140	-0.087829	-0.001131
0.113024	0.154296	-0.000139	-0.087513	-0.001173
0.113024	0.155279	-0.000138	-0.087194	-0.001216
0.113024	0.156261	-0.000137	-0.086873	-0.001261
0.113024	0.157244	-0.000136	-0.086549	-0.001307
0.113024	0.158227	-0.000136	-0.086223	-0.001355
