r[m]	z[m]	psi[Wb]	Bz[T]	Br[T]
0.109126	-0.998500	0.001688	0	0
0.109126	-0.881550	0.001688	0	0
0.109126	-0.770496	0.001688	0	0
0.109126	-0.673201	0.001688	0	0
0.109126	-0.549372	0.001688	0	0
0.109126	-0.333161	0.001688	0	0
0.109126	-0.223090	0.001688	0	0
0.109126	-0.112036	0.001688	0	0
0.109126	-0.000983	0.001688	0	0
0.109126	0.110071	0.001688	0	0
0.109126	0.221125	0.001688	0	0
0.109126	0.331195	0.001688	0	0
0.109126	0.436352	0.001688	0	0
0.109126	0.547406	0.001688	0	0
0.109126	0.671236	0.001688	0	0
0.109126	0.768531	0.001688	0	0
0.109126	0.879584	0.001688	0	0
0.109126	0.996534	0.001688	0	0
0.225274	0.998500	0.007347	0	0
0.599094	0.875653	0.065213	0	0
0.599094	0.745927	0.065213	0	0
0.599094	0.636839	0.065213	0	0
0.599094	0.518906	0.065213	0	0
0.599094	0.365593	0.065213	0	0
0.780636	0.348885	0.139562	0	0
0.599094	0.282057	0.065213	0	0
0.599094	-0.284022	0.065213	0	0
0.780636	-0.350851	0.139562	0	0
0.599094	-0.367558	0.065213	0	0
0.599094	-0.520871	0.065213	0	0
0.599094	-0.638804	0.065213	0	0
0.599094	-0.747892	0.065213	0	0
0.599094	-0.877619	0.065213	0	0
