r[m]	z[m]	psi[Wb]	Bz[T]	Br[T]
0.109126	-0.998500	0.001691	0	0
0.109126	-0.881550	0.001582	0	0
0.109126	-0.770496	0.001413	0	0
0.109126	-0.673201	0.001238	0	0
0.109126	-0.549372	0.001003	0	0
0.109126	-0.333161	0.000551	0	0
0.109126	-0.223090	0.000282	0	0
0.109126	-0.112036	-0.000111	0	0
0.109126	-0.000983	-0.000550	0	0
0.109126	0.110071	-0.000120	0	0
0.109126	0.221125	0.000276	0	0
0.109126	0.331195	0.000547	0	0
0.109126	0.436352	0.000773	0	0
0.109126	0.547406	0.001000	0	0
0.109126	0.671236	0.001234	0	0
0.109126	0.768531	0.001410	0	0
0.109126	0.879584	0.001580	0	0
0.109126	0.996534	0.001690	0	0
0.225274	0.998500	0.007356	0	0
0.599094	0.875653	0.053689	0	0
0.599094	0.745927	0.041303	0	0
0.599094	0.636839	0.033158	0	0
0.599094	0.518906	0.026498	0	0
0.599094	0.365593	0.020299	0	0
0.780636	0.348885	0.032696	0	0
0.599094	0.282057	0.017561	0	0
0.599094	-0.284022	0.017693	0	0
0.780636	-0.350851	0.032767	0	0
0.599094	-0.367558	0.020365	0	0
0.599094	-0.520871	0.026594	0	0
0.599094	-0.638804	0.033287	0	0
0.599094	-0.747892	0.041469	0	0
0.599094	-0.877619	0.053892	0	0
